code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,ass_1_date,ass_1_score,ass_2_date,ass_2_score,ass_3_date,ass_3_score,ass_4_date,ass_4_score,ass_5_date,ass_5_score,clicks_dataplus,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_resource,clicks_subpage,clicks_url
2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,-159.0,,18.0,78.0,53.0,85.0,115.0,80.0,164.0,85.0,212.0,82.0,0.0,193.0,0.0,138.0,0.0,553.0,13.0,32.0,5.0
2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,-53.0,,22.0,70.0,52.0,68.0,121.0,70.0,164.0,64.0,212.0,60.0,10.0,417.0,0.0,324.0,0.0,537.0,12.0,87.0,48.0
2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,-92.0,12.0,,,,,,,,,,,0.0,126.0,0.0,59.0,0.0,66.0,4.0,22.0,4.0
2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-52.0,,17.0,72.0,51.0,71.0,115.0,74.0,165.0,88.0,213.0,75.0,2.0,634.0,1.0,432.0,0.0,836.0,19.0,144.0,90.0
2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-176.0,,26.0,69.0,75.0,30.0,124.0,63.0,181.0,35.0,222.0,75.0,0.0,194.0,4.0,204.0,0.0,494.0,45.0,79.0,14.0
2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-110.0,,19.0,79.0,64.0,69.0,117.0,74.0,166.0,50.0,215.0,68.0,7.0,875.0,4.0,512.0,0.0,900.0,11.0,91.0,45.0
2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,-67.0,,20.0,70.0,54.0,65.0,117.0,62.0,166.0,75.0,216.0,68.0,2.0,123.0,0.0,320.0,2.0,915.0,8.0,98.0,24.0
2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-29.0,,18.0,72.0,57.0,72.0,116.0,72.0,166.0,73.0,227.0,73.0,4.0,428.0,0.0,295.0,1.0,508.0,16.0,120.0,56.0
2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,-33.0,,19.0,72.0,54.0,68.0,117.0,75.0,173.0,72.0,215.0,70.0,8.0,333.0,0.0,476.0,2.0,714.0,19.0,214.0,128.0
2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,-179.0,,9.0,71.0,52.0,80.0,114.0,78.0,161.0,80.0,212.0,81.0,3.0,1974.0,0.0,394.0,0.0,575.0,6.0,124.0,82.0
