code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,ass_1_date,ass_1_score,ass_2_date,ass_2_score,ass_3_date,ass_3_score,ass_4_date,ass_4_score,ass_5_date,ass_5_score,ass_6_date,ass_6_score,ass_7_date,ass_7_score,ass_8_date,ass_8_score,ass_9_date,ass_9_score,clicks_forumng,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_page,clicks_quiz,clicks_resource,clicks_subpage,clicks_url
2014B,28418,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,30,N,Fail,-37.0,,,,,,,,,,20.0,30.0,69.0,33.0,,,,,,,1.0,67.0,0.0,3.0,0.0,133.0,44.0,79.0,1.0
2014B,29764,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,90,N,Distinction,-34.0,,31.0,92.0,101.0,97.0,159.0,92.0,199.0,84.0,20.0,90.0,69.0,89.0,139.0,83.0,209.0,83.0,230.0,94.0,21.0,224.0,0.0,92.0,11.0,2135.0,88.0,288.0,8.0
2014B,29820,M,East Anglian Region,HE Qualification,40-50%,0-35,0,60,N,Pass,-57.0,,31.0,100.0,101.0,87.0,149.0,87.0,204.0,85.0,20.0,60.0,69.0,76.0,139.0,79.0,209.0,72.0,230.0,76.0,173.0,234.0,0.0,12.0,1.0,328.0,156.0,116.0,7.0
2014B,40333,M,North Region,HE Qualification,0-10%,35-55,0,30,N,Withdrawn,-30.0,17.0,,,,,,,,,,,,,,,,,,,10.0,53.0,0.0,7.0,0.0,27.0,24.0,46.0,7.0
2014B,40604,M,Ireland,A Level or Equivalent,,35-55,0,30,N,Pass,-17.0,,32.0,90.0,102.0,68.0,160.0,57.0,200.0,37.0,20.0,70.0,69.0,90.0,,,,,234.0,66.0,14.0,133.0,0.0,32.0,0.0,178.0,30.0,73.0,5.0
2014B,42638,M,Scotland,HE Qualification,90-100%,35-55,0,60,N,Pass,-52.0,,31.0,84.0,101.0,84.0,150.0,76.0,199.0,73.0,20.0,50.0,69.0,77.0,139.0,65.0,209.0,59.0,230.0,50.0,1524.0,1179.0,2.0,932.0,3.0,1410.0,234.0,328.0,47.0
2014B,45664,M,Yorkshire Region,HE Qualification,60-70%,0-35,0,60,N,Withdrawn,-173.0,137.0,39.0,52.0,,,,,,,20.0,0.0,69.0,43.0,,,,,,,2.0,66.0,0.0,0.0,0.0,231.0,57.0,36.0,5.0
2014B,46605,M,East Anglian Region,HE Qualification,60-70%,35-55,0,60,N,Distinction,-54.0,,31.0,98.0,98.0,97.0,148.0,94.0,199.0,88.0,20.0,90.0,69.0,94.0,139.0,90.0,209.0,93.0,230.0,98.0,1331.0,1050.0,0.0,22.0,3.0,798.0,53.0,154.0,16.0
2014B,49119,M,Ireland,HE Qualification,,0-35,0,90,N,Distinction,-74.0,,32.0,98.0,106.0,92.0,151.0,95.0,200.0,91.0,20.0,50.0,69.0,85.0,139.0,81.0,209.0,100.0,234.0,100.0,378.0,359.0,0.0,42.0,2.0,947.0,97.0,183.0,6.0
2014B,50263,M,West Midlands Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,-113.0,45.0,34.0,66.0,,,,,,,20.0,20.0,,,,,,,,,10.0,100.0,0.0,56.0,0.0,174.0,30.0,52.0,3.0
