code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,ass_1_date,ass_1_score,ass_2_date,ass_2_score,ass_3_date,ass_3_score,ass_4_date,ass_4_score,ass_5_date,ass_5_score,ass_6_date,ass_6_score,ass_7_date,ass_7_score,clicks_externalquiz,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_ouwiki,clicks_resource,clicks_subpage,clicks_url
2013J,3733,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Withdrawn,-68.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,
2013J,8462,M,London Region,HE Qualification,30-40%,55<=,0,90,N,Withdrawn,-137.0,119.0,29.0,93.0,51.0,83.0,85.0,87.0,,,,,,,,,12.0,36.0,0.0,184.0,12.0,64.0,18.0,70.0,227.0,23.0
2013J,27417,M,South West Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn,-74.0,208.0,36.0,48.0,57.0,58.0,99.0,52.0,144.0,6.0,,,,,,,1.0,142.0,0.0,99.0,5.0,55.0,36.0,45.0,20.0,7.0
2013J,27935,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,Y,Fail,-134.0,,27.0,75.0,48.0,73.0,88.0,90.0,127.0,63.0,,,,,,,3.0,142.0,0.0,259.0,2.0,64.0,38.0,41.0,231.0,33.0
2013J,28046,F,Yorkshire Region,HE Qualification,10-20,35-55,0,70,N,Fail,-190.0,,25.0,58.0,53.0,57.0,93.0,49.0,123.0,49.0,165.0,69.0,207.0,24.0,237.0,40.0,10.0,92.0,0.0,162.0,0.0,100.0,75.0,32.0,175.0,15.0
2013J,29411,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,-96.0,,24.0,75.0,53.0,79.0,88.0,93.0,130.0,58.0,163.0,86.0,207.0,66.0,237.0,62.0,24.0,169.0,4.0,211.0,1.0,54.0,74.0,87.0,193.0,24.0
2013J,30549,M,South East Region,A Level or Equivalent,0-10%,35-55,2,60,N,Fail,-102.0,,25.0,35.0,,,,,,,,,,,,,2.0,7.0,0.0,58.0,2.0,32.0,0.0,3.0,33.0,0.0
2013J,31173,M,North Western Region,A Level or Equivalent,40-50%,35-55,1,60,N,Fail,-44.0,,23.0,92.0,53.0,54.0,88.0,57.0,123.0,22.0,165.0,52.0,207.0,47.0,242.0,27.0,7.0,162.0,0.0,212.0,6.0,228.0,110.0,44.0,87.0,2.0
2013J,31269,F,East Midlands Region,A Level or Equivalent,30-40%,35-55,0,120,N,Withdrawn,-53.0,19.0,,,,,,,,,,,,,,,3.0,105.0,0.0,75.0,6.0,20.0,7.0,22.0,49.0,13.0
2013J,33387,M,Scotland,HE Qualification,10-20,0-35,1,120,N,Withdrawn,-43.0,179.0,25.0,65.0,53.0,55.0,88.0,57.0,,,,,,,,,1.0,23.0,0.0,63.0,0.0,98.0,18.0,16.0,27.0,2.0
2013J,33681,M,South East Region,A Level or Equivalent,50-60%,35-55,2,60,Y,Withdrawn,-151.0,208.0,25.0,94.0,53.0,73.0,100.0,63.0,,,,,,,,,9.0,33.0,0.0,107.0,1.0,126.0,10.0,44.0,93.0,11.0
2013J,33897,M,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Withdrawn,-58.0,107.0,23.0,50.0,,,,,,,,,,,,,1.0,33.0,0.0,35.0,0.0,119.0,0.0,14.0,115.0,5.0
2013J,33930,F,South West Region,A Level or Equivalent,20-30%,0-35,0,90,N,Pass,-143.0,,22.0,78.0,51.0,83.0,88.0,88.0,122.0,86.0,164.0,86.0,,,237.0,67.0,6.0,143.0,0.0,199.0,6.0,43.0,70.0,22.0,48.0,7.0
2013J,34087,M,South East Region,A Level or Equivalent,60-70%,35-55,0,60,Y,Withdrawn,-75.0,169.0,29.0,88.0,53.0,83.0,89.0,83.0,,,,,,,,,1.0,65.0,0.0,96.0,0.0,41.0,15.0,14.0,51.0,11.0
2013J,34653,M,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,-149.0,,,,51.0,50.0,88.0,62.0,111.0,35.0,,,,,,,3.0,36.0,0.0,39.0,0.0,45.0,5.0,18.0,64.0,3.0
2013J,35859,M,North Western Region,A Level or Equivalent,90-100%,0-35,0,60,N,Fail,-151.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013J,39411,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,-36.0,,25.0,70.0,,,,,,,,,,,,,2.0,44.0,0.0,44.0,1.0,46.0,0.0,0.0,25.0,2.0
2013J,39427,F,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,-37.0,223.0,25.0,84.0,,,,,,,,,,,,,0.0,5.0,0.0,29.0,1.0,21.0,3.0,2.0,26.0,6.0
