code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,ass_1_date,ass_1_score,ass_2_date,ass_2_score,ass_3_date,ass_3_score,ass_4_date,ass_4_score,clicks_dualpane,clicks_forumng,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_ouwiki,clicks_page,clicks_quiz,clicks_resource,clicks_subpage,clicks_url
2013J,26915,M,Wales,Lower Than A Level,0-10%,35-55,0,30,N,Fail,-61.0,,,,,,,,,,0.0,23.0,15.0,0.0,17.0,0.0,0.0,4.0,0.0,2.0,0.0
2013J,32553,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,-80.0,-12.0,,,,,,,,,,,,,,,,,,,
2013J,35355,M,Wales,Lower Than A Level,0-10%,35-55,0,30,N,Pass,-30.0,,28.0,86.0,67.0,86.0,122.0,79.0,158.0,83.0,8.0,414.0,196.0,0.0,1102.0,327.0,0.0,150.0,7.0,12.0,26.0
2013J,40508,M,West Midlands Region,A Level or Equivalent,40-50%,35-55,0,90,N,Withdrawn,-101.0,1.0,,,,,,,,,0.0,30.0,24.0,0.0,29.0,0.0,0.0,1.0,5.0,2.0,0.0
2013J,42638,M,Scotland,HE Qualification,90-100%,35-55,0,60,N,Pass,-39.0,,31.0,83.0,66.0,79.0,122.0,86.0,158.0,75.0,12.0,1831.0,1178.0,3.0,2281.0,381.0,0.0,209.0,64.0,153.0,74.0
2013J,43564,M,Scotland,HE Qualification,80-90%,35-55,0,60,N,Pass,-18.0,,33.0,94.0,66.0,98.0,123.0,94.0,159.0,85.0,8.0,390.0,363.0,0.0,902.0,248.0,0.0,176.0,65.0,111.0,71.0
2013J,54062,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,30,N,Distinction,-51.0,,33.0,78.0,68.0,87.0,124.0,92.0,159.0,99.0,5.0,93.0,147.0,4.0,729.0,301.0,1.0,119.0,25.0,37.0,16.0
2013J,63112,M,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-74.0,,32.0,88.0,66.0,96.0,124.0,74.0,158.0,90.0,4.0,1245.0,473.0,1.0,675.0,248.0,0.0,136.0,97.0,77.0,62.0
2013J,66713,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-155.0,,32.0,87.0,68.0,74.0,124.0,68.0,159.0,77.0,9.0,254.0,296.0,1.0,923.0,120.0,0.0,200.0,4.0,11.0,32.0
2013J,70214,M,Wales,Lower Than A Level,70-80%,0-35,0,120,N,Pass,-39.0,,33.0,58.0,68.0,57.0,124.0,42.0,159.0,35.0,9.0,547.0,496.0,3.0,1306.0,203.0,0.0,259.0,157.0,44.0,116.0
2013J,76579,F,Yorkshire Region,HE Qualification,10-20,0-35,0,60,N,Withdrawn,-57.0,144.0,33.0,69.0,,,,,,,2.0,40.0,226.0,0.0,329.0,0.0,0.0,92.0,9.0,32.0,41.0
2013J,88568,M,North Western Region,HE Qualification,70-80%,35-55,0,30,N,Pass,-132.0,,31.0,93.0,67.0,88.0,122.0,91.0,155.0,87.0,8.0,377.0,542.0,2.0,1525.0,623.0,0.0,206.0,58.0,142.0,99.0
2013J,96873,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,30,N,Fail,-195.0,,32.0,92.0,,,,,,,5.0,4.0,56.0,1.0,181.0,0.0,0.0,94.0,7.0,38.0,16.0
2013J,100758,F,London Region,A Level or Equivalent,10-20,0-35,0,150,N,Withdrawn,-92.0,-23.0,,,,,,,,,,,,,,,,,,,
2013J,101414,M,Yorkshire Region,Lower Than A Level,70-80%,35-55,0,105,N,Withdrawn,-163.0,-11.0,,,,,,,,,,,,,,,,,,,
2013J,105168,M,Scotland,HE Qualification,70-80%,0-35,0,90,N,Fail,-39.0,,33.0,88.0,74.0,87.0,,,,,1.0,44.0,115.0,0.0,235.0,0.0,0.0,95.0,2.0,45.0,30.0
2013J,107339,F,Scotland,HE Qualification,10-20,0-35,0,60,N,Distinction,-59.0,,32.0,99.0,68.0,99.0,124.0,100.0,159.0,89.0,3.0,509.0,464.0,0.0,762.0,238.0,0.0,134.0,4.0,37.0,70.0
2013J,110461,M,Scotland,HE Qualification,10-20,0-35,0,80,N,Withdrawn,-122.0,16.0,,,,,,,,,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0
2013J,111383,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn,-183.0,-51.0,,,,,,,,,,,,,,,,,,,
2013J,113698,M,South West Region,Lower Than A Level,60-70%,0-35,0,30,N,Fail,-52.0,,33.0,55.0,74.0,67.0,,,,,1.0,4.0,89.0,1.0,131.0,0.0,0.0,27.0,2.0,10.0,6.0
2013J,113824,M,East Anglian Region,Lower Than A Level,90-100%,0-35,0,120,Y,Fail,-108.0,,34.0,93.0,69.0,59.0,,,,,5.0,15.0,101.0,0.0,324.0,0.0,0.0,101.0,5.0,23.0,16.0
2013J,117197,F,South Region,A Level or Equivalent,40-50%,0-35,0,130,N,Pass,-66.0,,31.0,71.0,65.0,95.0,120.0,97.0,157.0,92.0,1.0,250.0,183.0,1.0,178.0,139.0,0.0,198.0,5.0,33.0,21.0
2013J,125619,M,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,Y,Withdrawn,-123.0,0.0,,,,,,,,,,,,,,,,,,,
2013J,126337,M,West Midlands Region,Lower Than A Level,20-30%,0-35,0,90,N,Withdrawn,-183.0,153.0,32.0,90.0,70.0,64.0,124.0,40.0,,,3.0,516.0,289.0,5.0,582.0,153.0,0.0,133.0,19.0,46.0,39.0
2013J,128929,F,North Region,A Level or Equivalent,10-20,0-35,0,145,N,Distinction,-150.0,,33.0,100.0,66.0,92.0,123.0,95.0,158.0,82.0,4.0,38.0,209.0,0.0,659.0,224.0,0.0,165.0,14.0,48.0,49.0
2013J,132123,M,South East Region,HE Qualification,90-100%,0-35,0,60,N,Pass,-23.0,,29.0,96.0,64.0,90.0,116.0,83.0,158.0,89.0,10.0,232.0,177.0,0.0,185.0,244.0,0.0,150.0,11.0,24.0,21.0
2013J,134982,M,Wales,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-113.0,,32.0,80.0,68.0,61.0,128.0,74.0,159.0,45.0,4.0,120.0,185.0,0.0,395.0,148.0,0.0,99.0,8.0,41.0,44.0
