code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,ass_1_date,ass_1_score,ass_2_date,ass_2_score,ass_3_date,ass_3_score,ass_4_date,ass_4_score,ass_5_date,ass_5_score,ass_6_date,ass_6_score,ass_7_date,ass_7_score,ass_8_date,ass_8_score,ass_9_date,ass_9_score,ass_10_date,ass_10_score,ass_11_date,ass_11_score,ass_12_date,ass_12_score,clicks_dataplus,clicks_dualpane,clicks_folder,clicks_forumng,clicks_glossary,clicks_homepage,clicks_htmlactivity,clicks_oucollaborate,clicks_oucontent,clicks_ouelluminate,clicks_ouwiki,clicks_page,clicks_questionnaire,clicks_quiz,clicks_repeatactivity,clicks_resource,clicks_subpage,clicks_url
2013B,33915,F,South East Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,-64.0,,17.0,86.0,46.0,94.0,87.0,93.0,131.0,100.0,164.0,100.0,37.0,93.0,60.0,90.0,95.0,86.0,136.0,87.0,202.0,89.0,213.0,97.0,213.0,83.0,38.0,8.0,,452.0,0.0,574.0,,,1590.0,42.0,54.0,15.0,26.0,848.0,,44.0,380.0,50.0
2013B,35544,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-22.0,,18.0,94.0,46.0,78.0,89.0,77.0,130.0,92.0,165.0,76.0,48.0,99.0,107.0,95.0,107.0,81.0,192.0,80.0,222.0,89.0,222.0,94.0,222.0,96.0,6.0,11.0,,189.0,0.0,205.0,,,943.0,0.0,19.0,9.0,18.0,460.0,,24.0,198.0,25.0
2013B,35860,M,South West Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,-60.0,,18.0,86.0,46.0,82.0,89.0,73.0,,,,,17.0,84.0,39.0,89.0,97.0,86.0,203.0,80.0,207.0,88.0,223.0,80.0,221.0,82.0,18.0,8.0,,114.0,0.0,208.0,,,1070.0,0.0,18.0,10.0,18.0,536.0,,25.0,165.0,25.0
2013B,36385,M,West Midlands Region,Lower Than A Level,70-80%,0-35,0,120,Y,Withdrawn,-73.0,79.0,17.0,84.0,46.0,66.0,,,,,,,19.0,69.0,31.0,70.0,73.0,64.0,,,,,,,,,0.0,0.0,,691.0,0.0,210.0,,,79.0,4.0,0.0,7.0,0.0,286.0,,13.0,54.0,11.0
2013B,36842,M,South Region,Lower Than A Level,40-50%,0-35,0,90,N,Withdrawn,-24.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,37298,M,Ireland,HE Qualification,,0-35,0,120,N,Pass,-31.0,,19.0,92.0,47.0,74.0,94.0,93.0,131.0,86.0,,,102.0,82.0,192.0,84.0,184.0,85.0,185.0,85.0,186.0,85.0,192.0,75.0,188.0,85.0,0.0,0.0,,160.0,0.0,248.0,,,797.0,7.0,5.0,4.0,4.0,662.0,,38.0,150.0,22.0
2013B,42668,M,London Region,Lower Than A Level,10-20,35-55,1,120,N,Pass,-122.0,,19.0,76.0,46.0,72.0,89.0,92.0,130.0,76.0,169.0,73.0,37.0,84.0,157.0,94.0,221.0,77.0,222.0,86.0,222.0,75.0,223.0,67.0,223.0,72.0,1.0,1.0,,285.0,0.0,392.0,,,1267.0,5.0,9.0,9.0,6.0,551.0,,45.0,255.0,13.0
2013B,43011,M,North Region,Lower Than A Level,,0-35,2,60,N,Withdrawn,-31.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013B,43273,M,East Midlands Region,HE Qualification,60-70%,35-55,0,90,N,Pass,-108.0,,19.0,90.0,55.0,72.0,89.0,72.0,131.0,59.0,166.0,71.0,207.0,81.0,207.0,82.0,207.0,70.0,208.0,81.0,208.0,81.0,209.0,80.0,208.0,73.0,5.0,4.0,,64.0,0.0,279.0,,,743.0,0.0,0.0,3.0,0.0,534.0,,34.0,184.0,12.0
2013B,43430,M,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-53.0,,14.0,98.0,42.0,90.0,85.0,97.0,124.0,88.0,161.0,100.0,26.0,80.0,34.0,94.0,82.0,74.0,117.0,82.0,139.0,82.0,173.0,75.0,172.0,79.0,31.0,11.0,,909.0,0.0,866.0,,,2425.0,15.0,97.0,14.0,44.0,681.0,,49.0,504.0,47.0
