code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,ass_1_date,ass_1_score,ass_2_date,ass_2_score,ass_3_date,ass_3_score,ass_4_date,ass_4_score,ass_5_date,ass_5_score,ass_6_date,ass_6_score,ass_7_date,ass_7_score,ass_8_date,ass_8_score,ass_9_date,ass_9_score,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucontent,clicks_quiz,clicks_resource,clicks_subpage
2013J,24391,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,30,N,Distinction,-64.0,,57.0,80.0,123.0,80.0,172.0,80.0,94.0,80.0,143.0,100.0,164.0,100.0,199.0,100.0,203.0,80.0,220.0,100.0,62.0,2.0,130.0,357.0,120.0,18.0,23.0
2013J,26023,M,North Western Region,Lower Than A Level,10-20,35-55,0,30,N,Pass,-37.0,,59.0,66.0,121.0,53.0,172.0,73.0,96.0,100.0,129.0,100.0,152.0,100.0,192.0,100.0,201.0,100.0,220.0,100.0,118.0,1.0,315.0,151.0,105.0,83.0,13.0
2013J,32239,F,London Region,A Level or Equivalent,30-40%,0-35,0,30,N,Pass,-78.0,,51.0,55.0,123.0,55.0,170.0,55.0,91.0,100.0,136.0,100.0,150.0,100.0,192.0,100.0,200.0,80.0,,,140.0,0.0,181.0,178.0,88.0,18.0,15.0
2013J,35001,F,East Midlands Region,Lower Than A Level,70-80%,35-55,0,30,N,Fail,-27.0,,60.0,80.0,124.0,70.0,,,,,,,,,,,,,,,3.0,0.0,24.0,36.0,1.0,3.0,10.0
2013J,60405,F,Yorkshire Region,A Level or Equivalent,10-20,35-55,0,30,N,Distinction,-123.0,,47.0,78.0,134.0,90.0,171.0,70.0,101.0,100.0,140.0,100.0,158.0,100.0,192.0,100.0,199.0,60.0,231.0,100.0,127.0,4.0,176.0,360.0,143.0,27.0,15.0
2013J,62975,M,South Region,Lower Than A Level,,35-55,0,30,N,Fail,-53.0,,58.0,65.0,121.0,65.0,,,94.0,100.0,143.0,100.0,151.0,100.0,,,,,,,29.0,0.0,91.0,64.0,52.0,17.0,21.0
2013J,67182,F,South Region,A Level or Equivalent,80-90%,35-55,0,30,N,Pass,-32.0,,61.0,65.0,133.0,75.0,173.0,75.0,101.0,100.0,193.0,80.0,193.0,60.0,228.0,80.0,227.0,60.0,228.0,100.0,1.0,0.0,93.0,97.0,97.0,42.0,24.0
2013J,75442,F,London Region,Lower Than A Level,10-20,0-35,0,30,N,Fail,-123.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013J,80448,F,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,30,N,Withdrawn,-4.0,227.0,,,123.0,63.0,173.0,65.0,129.0,100.0,129.0,60.0,178.0,80.0,,,,,,,36.0,0.0,123.0,80.0,60.0,18.0,33.0
2013J,82341,F,South East Region,Lower Than A Level,90-100%,0-35,0,30,Y,Distinction,-73.0,,67.0,60.0,123.0,70.0,181.0,60.0,102.0,100.0,150.0,80.0,214.0,80.0,189.0,100.0,,,,,52.0,0.0,95.0,244.0,63.0,22.0,32.0
2013J,87929,F,London Region,A Level or Equivalent,50-60%,0-35,0,30,N,Pass,-99.0,,56.0,50.0,118.0,70.0,170.0,75.0,89.0,100.0,129.0,100.0,159.0,100.0,192.0,100.0,,,,,22.0,1.0,85.0,308.0,109.0,32.0,11.0
2013J,96117,F,London Region,A Level or Equivalent,30-40%,35-55,0,30,N,Pass,-152.0,,59.0,55.0,124.0,60.0,173.0,55.0,108.0,100.0,187.0,100.0,209.0,80.0,221.0,100.0,224.0,60.0,,,25.0,5.0,84.0,310.0,74.0,14.0,27.0
2013J,121056,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,30,N,Withdrawn,-81.0,-8.0,37.0,45.0,,,,,,,,,,,,,,,,,7.0,0.0,6.0,0.0,0.0,4.0,0.0
2013J,122459,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,90,N,Pass,-141.0,,28.0,50.0,118.0,50.0,173.0,54.0,105.0,100.0,130.0,60.0,149.0,72.0,185.0,80.0,199.0,60.0,215.0,100.0,0.0,0.0,76.0,81.0,89.0,11.0,13.0
2013J,122636,F,South East Region,Lower Than A Level,10-20,0-35,0,30,N,Fail,-25.0,,51.0,45.0,,,,,,,,,,,,,,,,,77.0,1.0,25.0,4.0,0.0,2.0,1.0
2013J,122846,F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,30,N,Pass,-99.0,,54.0,65.0,122.0,45.0,173.0,50.0,89.0,60.0,130.0,60.0,178.0,44.0,224.0,60.0,,,,,113.0,8.0,220.0,499.0,113.0,47.0,51.0
2013J,122928,F,East Anglian Region,Lower Than A Level,60-70%,35-55,0,30,N,Fail,-40.0,,54.0,64.0,122.0,60.0,171.0,42.0,173.0,80.0,173.0,100.0,173.0,100.0,,,,,,,0.0,13.0,34.0,72.0,55.0,5.0,5.0
2013J,129212,F,South Region,Lower Than A Level,80-90%,0-35,0,30,N,Distinction,-109.0,,60.0,65.0,123.0,75.0,176.0,79.0,110.0,80.0,178.0,100.0,178.0,100.0,220.0,100.0,220.0,60.0,,,272.0,3.0,298.0,657.0,93.0,41.0,63.0
2013J,135331,F,North Region,A Level or Equivalent,20-30%,0-35,0,30,Y,Fail,-45.0,,,,,,,,,,,,,,,,,,,,18.0,0.0,5.0,0.0,0.0,1.0,0.0
2013J,138710,M,East Midlands Region,A Level or Equivalent,60-70%,0-35,0,30,N,Pass,-74.0,,29.0,40.0,128.0,5.0,172.0,75.0,180.0,80.0,180.0,60.0,227.0,80.0,227.0,80.0,227.0,80.0,227.0,100.0,102.0,2.0,142.0,197.0,199.0,62.0,33.0
2013J,142990,M,South West Region,Lower Than A Level,20-30%,0-35,0,30,Y,Fail,-75.0,,59.0,14.0,185.0,73.0,195.0,68.0,,,,,,,,,,,,,0.0,1.0,27.0,69.0,4.0,14.0,20.0
