code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,1758_date,1758_score,1759_date,1759_score,1760_date,1760_score,1761_date,1761_score,1762_date,1762_score,clicks_dataplus,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_resource,clicks_subpage,clicks_url
AAA,2014J,6516,M,Scotland,HE Qualification,80-90%,55<=,0,60,N,Pass,-52.0,NA,17.0,60.0,51.0,48.0,116.0,63.0,164.0,61.0,210.0,77.0,21.0,451.0,0.0,497.0,0.0,1505.0,31.0,143.0,143.0
AAA,2014J,24734,F,South Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,-18.0,NA,23.0,41.0,64.0,38.0,121.0,52.0,185.0,55.0,215.0,48.0,0.0,158.0,0.0,138.0,1.0,161.0,5.0,27.0,9.0
AAA,2014J,26192,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction,-38.0,NA,18.0,87.0,53.0,83.0,116.0,85.0,165.0,88.0,213.0,88.0,9.0,119.0,0.0,525.0,0.0,1150.0,8.0,250.0,162.0
AAA,2014J,28061,M,Yorkshire Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-130.0,NA,18.0,78.0,60.0,81.0,117.0,71.0,166.0,82.0,215.0,76.0,7.0,315.0,0.0,395.0,5.0,559.0,29.0,170.0,110.0
AAA,2014J,31600,F,South West Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,-52.0,NA,24.0,47.0,53.0,52.0,121.0,57.0,171.0,64.0,214.0,54.0,0.0,226.0,0.0,67.0,0.0,104.0,3.0,27.0,2.0
AAA,2014J,46844,M,North Region,HE Qualification,30-40%,35-55,0,60,N,Pass,-74.0,NA,19.0,56.0,54.0,63.0,117.0,68.0,166.0,64.0,214.0,73.0,0.0,96.0,0.0,92.0,1.0,82.0,30.0,37.0,2.0
AAA,2014J,52765,F,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,120,N,Pass,-22.0,NA,19.0,67.0,54.0,70.0,117.0,61.0,172.0,65.0,215.0,52.0,4.0,2030.0,0.0,959.0,1.0,1596.0,28.0,210.0,110.0
AAA,2014J,55104,F,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-87.0,NA,16.0,75.0,56.0,64.0,117.0,70.0,167.0,68.0,214.0,78.0,0.0,352.0,0.0,287.0,0.0,631.0,12.0,135.0,63.0
AAA,2014J,58071,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-72.0,NA,19.0,87.0,59.0,80.0,122.0,61.0,172.0,76.0,222.0,76.0,22.0,759.0,1.0,855.0,4.0,1778.0,98.0,121.0,10.0
AAA,2014J,58316,F,Wales,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,-80.0,NA,18.0,78.0,69.0,77.0,116.0,64.0,166.0,75.0,215.0,73.0,0.0,45.0,0.0,367.0,1.0,675.0,20.0,145.0,42.0
AAA,2014J,62487,F,East Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,-50.0,NA,19.0,78.0,61.0,76.0,117.0,74.0,180.0,62.0,215.0,68.0,7.0,42.0,1.0,161.0,0.0,370.0,7.0,79.0,16.0
AAA,2014J,63165,M,South East Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-82.0,NA,18.0,50.0,53.0,47.0,137.0,51.0,172.0,52.0,221.0,57.0,0.0,177.0,0.0,182.0,0.0,463.0,14.0,60.0,16.0
AAA,2014J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,N,Fail,-144.0,NA,-1.0,66.0,-1.0,68.0,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
AAA,2014J,70011,F,Scotland,HE Qualification,40-50%,0-35,0,60,N,Pass,-78.0,NA,19.0,74.0,54.0,76.0,117.0,78.0,166.0,88.0,214.0,85.0,18.0,2401.0,0.0,1453.0,0.0,2091.0,36.0,243.0,154.0
AAA,2014J,75255,M,North Western Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,-58.0,NA,19.0,76.0,56.0,77.0,117.0,80.0,177.0,88.0,214.0,88.0,0.0,91.0,0.0,182.0,0.0,583.0,17.0,61.0,16.0
AAA,2014J,79403,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Withdrawn,-23.0,164.0,22.0,72.0,53.0,60.0,128.0,50.0,NA,NA,NA,NA,14.0,54.0,0.0,220.0,0.0,1404.0,4.0,60.0,26.0
