code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,14984_date,14984_score,14985_date,14985_score,14986_date,14986_score,14987_date,14987_score,14988_date,14988_score,14989_date,14989_score,14991_date,14991_score,14992_date,14992_score,14993_date,14993_score,14994_date,14994_score,14995_date,14995_score,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucontent,clicks_ouelluminate,clicks_quiz,clicks_resource,clicks_sharedsubpage,clicks_subpage,clicks_url
BBB,2013B,23629,F,East Anglian Region,Lower Than A Level,20-30%,0-35,2,60,N,Fail,-47.0,NA,9.0,67.0,59.0,63.0,NA,NA,NA,NA,NA,NA,NA,NA,60.0,100.0,95.0,100.0,NA,NA,NA,NA,NA,NA,87.0,0.0,36.0,0.0,0.0,31.0,2.0,0.0,5.0,0.0
BBB,2013B,25107,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass,-73.0,NA,20.0,59.0,46.0,60.0,88.0,63.0,124.0,53.0,159.0,61.0,187.0,55.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,100.0,1584.0,2.0,831.0,1.0,1.0,85.0,23.0,0.0,21.0,14.0
BBB,2013B,27891,M,Scotland,Lower Than A Level,0-10%,0-35,2,120,Y,Withdrawn,-58.0,153.0,18.0,73.0,54.0,67.0,89.0,55.0,NA,NA,NA,NA,NA,NA,60.0,100.0,95.0,60.0,126.0,60.0,NA,NA,NA,NA,173.0,0.0,66.0,1.0,0.0,38.0,6.0,0.0,11.0,6.0
BBB,2013B,29144,M,South Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,-24.0,NA,18.0,60.0,51.0,55.0,89.0,70.0,124.0,72.0,172.0,62.0,NA,NA,60.0,100.0,95.0,100.0,126.0,60.0,164.0,80.0,NA,NA,436.0,2.0,556.0,3.0,0.0,78.0,358.0,0.0,442.0,39.0
BBB,2013B,31663,M,North Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-60.0,NA,18.0,88.0,46.0,80.0,89.0,85.0,127.0,54.0,159.0,15.0,187.0,70.0,60.0,100.0,95.0,80.0,126.0,100.0,164.0,100.0,189.0,100.0,3961.0,3.0,1341.0,1.0,11.0,69.0,230.0,0.0,234.0,56.0
BBB,2013B,33666,F,London Region,A Level or Equivalent,10-20,0-35,1,60,N,Withdrawn,-23.0,139.0,18.0,58.0,47.0,78.0,117.0,NA,NA,NA,NA,NA,NA,NA,60.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,983.0,0.0,161.0,1.0,1.0,15.0,4.0,0.0,31.0,12.0
BBB,2013B,34229,F,Ireland,A Level or Equivalent,0-10%,35-55,2,120,N,Pass,-58.0,NA,19.0,73.0,59.0,83.0,104.0,72.0,NA,NA,159.0,82.0,189.0,82.0,60.0,100.0,95.0,100.0,NA,NA,164.0,100.0,189.0,100.0,274.0,26.0,184.0,0.0,0.0,56.0,47.0,0.0,101.0,18.0
BBB,2013B,34353,M,Scotland,A Level or Equivalent,70-80%,35-55,0,120,Y,Fail,-16.0,NA,18.0,95.0,47.0,73.0,NA,NA,124.0,90.0,159.0,75.0,187.0,73.0,60.0,100.0,95.0,100.0,126.0,100.0,164.0,100.0,189.0,100.0,210.0,0.0,80.0,0.0,0.0,69.0,9.0,0.0,22.0,1.0
BBB,2013B,34431,F,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,-24.0,27.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.0,80.0,NA,NA,NA,NA,NA,NA,NA,NA,104.0,0.0,54.0,0.0,0.0,16.0,1.0,0.0,8.0,9.0
BBB,2013B,34694,M,West Midlands Region,A Level or Equivalent,10-20,35-55,1,60,N,Withdrawn,-55.0,-54.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
