code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,14996_date,14996_score,14997_date,14997_score,14998_date,14998_score,14999_date,14999_score,15000_date,15000_score,15001_date,15001_score,15003_date,15003_score,15004_date,15004_score,15005_date,15005_score,15006_date,15006_score,15007_date,15007_score,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_quiz,clicks_resource,clicks_sharedsubpage,clicks_subpage,clicks_url
BBB,2013J,23632,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn,-194.0,-51.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2013J,23798,M,Wales,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction,-27.0,NA,18.0,90.0,46.0,90.0,95.0,89.0,130.0,88.0,162.0,87.0,205.0,89.0,56.0,100.0,102.0,100.0,133.0,100.0,168.0,100.0,210.0,100.0,145.0,1.0,169.0,3.0,44.0,104.0,21.0,0.0,47.0,56.0
BBB,2013J,25629,F,Scotland,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn,-31.0,-30.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2013J,26677,M,West Midlands Region,A Level or Equivalent,0-10%,0-35,4,60,N,Withdrawn,-60.0,-1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2013J,27457,F,South East Region,Lower Than A Level,40-50%,35-55,0,60,N,Withdrawn,-36.0,-12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2013J,27759,M,North Western Region,Lower Than A Level,40-50%,35-55,0,120,Y,Fail,-43.0,NA,18.0,61.0,45.0,65.0,96.0,61.0,131.0,48.0,166.0,67.0,207.0,55.0,56.0,80.0,102.0,100.0,133.0,100.0,168.0,100.0,210.0,100.0,65.0,4.0,123.0,0.0,17.0,88.0,19.0,0.0,35.0,15.0
BBB,2013J,30091,F,South West Region,A Level or Equivalent,10-20,0-35,0,60,Y,Pass,-145.0,NA,24.0,80.0,53.0,72.0,92.0,75.0,NA,NA,167.0,78.0,206.0,75.0,56.0,100.0,102.0,100.0,133.0,100.0,168.0,100.0,210.0,100.0,853.0,0.0,229.0,0.0,30.0,75.0,36.0,0.0,44.0,65.0
BBB,2013J,31014,F,West Midlands Region,Lower Than A Level,80-90%,35-55,0,120,N,Withdrawn,-43.0,128.0,4.0,85.0,43.0,83.0,94.0,82.0,NA,NA,NA,NA,NA,NA,56.0,100.0,102.0,100.0,NA,NA,NA,NA,NA,NA,343.0,0.0,130.0,1.0,4.0,30.0,8.0,0.0,11.0,4.0
BBB,2013J,31849,F,South West Region,Lower Than A Level,60-70%,35-55,0,120,N,Pass,-128.0,NA,15.0,81.0,50.0,70.0,92.0,62.0,129.0,63.0,171.0,65.0,218.0,77.0,56.0,100.0,102.0,100.0,133.0,80.0,168.0,60.0,210.0,100.0,651.0,0.0,336.0,0.0,32.0,64.0,20.0,0.0,64.0,12.0
BBB,2013J,37622,F,Scotland,HE Qualification,80-90%,0-35,1,120,N,Pass,-46.0,NA,19.0,70.0,47.0,75.0,100.0,70.0,137.0,62.0,165.0,77.0,206.0,65.0,NA,NA,102.0,100.0,133.0,100.0,168.0,100.0,210.0,100.0,184.0,0.0,124.0,0.0,20.0,58.0,24.0,0.0,44.0,16.0
