code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,15008_date,15008_score,15009_date,15009_score,15010_date,15010_score,15011_date,15011_score,15012_date,15012_score,15013_date,15013_score,15015_date,15015_score,15016_date,15016_score,15017_date,15017_score,15018_date,15018_score,15019_date,15019_score,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_quiz,clicks_resource,clicks_sharedsubpage,clicks_subpage,clicks_url
BBB,2014B,25629,F,Scotland,Lower Than A Level,20-30%,0-35,1,120,N,Withdrawn,-156.0,108.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBB,2014B,25997,F,London Region,A Level or Equivalent,20-30%,0-35,2,60,N,Withdrawn,-139.0,83.0,NA,NA,44.0,73.0,NA,NA,NA,NA,NA,NA,NA,NA,49.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0
BBB,2014B,27891,M,Scotland,Lower Than A Level,0-10%,0-35,4,120,Y,Fail,-191.0,NA,-1.0,73.0,-1.0,67.0,-1.0,55.0,NA,NA,NA,NA,NA,NA,-1.0,100.0,-1.0,60.0,-1.0,60.0,NA,NA,NA,NA,32.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
BBB,2014B,38941,F,East Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,-24.0,NA,13.0,77.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014B,50069,F,Scotland,A Level or Equivalent,30-40%,0-35,0,90,N,Fail,-134.0,NA,11.0,78.0,47.0,84.0,NA,NA,117.0,67.0,NA,NA,NA,NA,49.0,100.0,84.0,100.0,119.0,80.0,NA,NA,NA,NA,152.0,0.0,140.0,0.0,7.0,39.0,76.0,0.0,101.0,16.0
BBB,2014B,52426,F,Scotland,Lower Than A Level,70-80%,35-55,1,60,N,Fail,-32.0,NA,9.0,46.0,39.0,66.0,82.0,53.0,NA,NA,NA,NA,NA,NA,49.0,100.0,84.0,100.0,NA,NA,NA,NA,NA,NA,21.0,0.0,13.0,2.0,0.0,26.0,0.0,0.0,3.0,3.0
BBB,2014B,55968,F,Wales,Lower Than A Level,10-20,0-35,0,120,N,Fail,-29.0,NA,10.0,62.0,46.0,62.0,81.0,40.0,NA,NA,NA,NA,NA,NA,49.0,80.0,84.0,80.0,119.0,80.0,NA,NA,NA,NA,329.0,0.0,131.0,0.0,34.0,38.0,12.0,0.0,27.0,7.0
BBB,2014B,59725,F,Wales,HE Qualification,40-50%,35-55,0,120,N,Distinction,-29.0,NA,9.0,87.0,34.0,80.0,80.0,88.0,112.0,87.0,145.0,72.0,188.0,95.0,49.0,100.0,84.0,100.0,119.0,60.0,154.0,80.0,200.0,60.0,338.0,2.0,237.0,0.0,37.0,93.0,50.0,0.0,91.0,11.0
BBB,2014B,60416,F,East Anglian Region,Lower Than A Level,60-70%,0-35,1,60,N,Pass,-64.0,NA,7.0,50.0,36.0,64.0,81.0,77.0,117.0,63.0,152.0,74.0,192.0,87.0,49.0,100.0,84.0,100.0,119.0,100.0,154.0,100.0,200.0,100.0,3429.0,0.0,1237.0,2.0,62.0,132.0,71.0,0.0,29.0,21.0
BBB,2014B,60830,F,South Region,HE Qualification,60-70%,0-35,0,120,N,Pass,-32.0,NA,9.0,73.0,36.0,63.0,71.0,71.0,115.0,77.0,150.0,77.0,NA,NA,49.0,100.0,84.0,60.0,119.0,100.0,154.0,100.0,200.0,100.0,646.0,1.0,294.0,1.0,117.0,95.0,41.0,0.0,129.0,41.0
BBB,2014B,63721,F,South East Region,Lower Than A Level,80-90%,0-35,0,60,Y,Distinction,-73.0,NA,9.0,86.0,38.0,87.0,85.0,81.0,116.0,80.0,151.0,86.0,NA,NA,49.0,100.0,84.0,100.0,119.0,40.0,154.0,100.0,200.0,80.0,106.0,0.0,166.0,0.0,59.0,69.0,134.0,0.0,214.0,23.0
BBB,2014B,64275,F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,60,Y,Pass,-26.0,NA,11.0,75.0,40.0,80.0,82.0,85.0,117.0,85.0,166.0,0.0,194.0,86.0,49.0,100.0,84.0,40.0,119.0,100.0,NA,NA,200.0,100.0,70.0,0.0,49.0,0.0,0.0,59.0,10.0,0.0,10.0,1.0
BBB,2014B,72400,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,120,Y,Distinction,-221.0,NA,10.0,75.0,52.0,65.0,83.0,75.0,123.0,75.0,158.0,78.0,175.0,85.0,49.0,100.0,84.0,100.0,119.0,80.0,154.0,100.0,200.0,100.0,75.0,0.0,79.0,0.0,14.0,89.0,88.0,0.0,61.0,14.0
BBB,2014B,75118,F,North Western Region,Lower Than A Level,0-10%,0-35,0,150,Y,Withdrawn,-117.0,-56.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014B,76196,F,North Western Region,Lower Than A Level,0-10%,35-55,1,120,Y,Withdrawn,-131.0,-50.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014B,78255,F,North Region,Lower Than A Level,0-10%,0-35,2,120,N,Fail,-41.0,NA,-1.0,76.0,43.0,63.0,NA,NA,NA,NA,NA,NA,NA,NA,49.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,6.0,0.0,51.0,0.0,1.0,14.0,27.0,0.0,26.0,5.0
BBB,2014B,80001,F,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,-142.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014B,88340,F,Wales,Lower Than A Level,30-40%,0-35,0,60,Y,Withdrawn,-129.0,108.0,11.0,63.0,39.0,61.0,NA,NA,NA,NA,NA,NA,NA,NA,49.0,80.0,84.0,100.0,NA,NA,NA,NA,NA,NA,44.0,0.0,56.0,0.0,0.0,26.0,38.0,0.0,3.0,20.0
BBB,2014B,89092,F,Wales,Lower Than A Level,50-60%,0-35,2,60,N,Pass,-30.0,NA,9.0,66.0,32.0,60.0,78.0,62.0,109.0,65.0,148.0,68.0,182.0,67.0,49.0,100.0,84.0,60.0,119.0,80.0,154.0,40.0,200.0,20.0,29.0,0.0,21.0,0.0,10.0,78.0,13.0,0.0,28.0,4.0
BBB,2014B,89778,M,South East Region,A Level or Equivalent,70-80%,0-35,1,120,N,Distinction,-121.0,NA,7.0,90.0,39.0,88.0,81.0,90.0,117.0,75.0,151.0,82.0,194.0,90.0,49.0,100.0,84.0,100.0,119.0,100.0,154.0,100.0,200.0,100.0,0.0,0.0,19.0,0.0,20.0,69.0,18.0,0.0,14.0,1.0
BBB,2014B,90361,F,Wales,HE Qualification,20-30%,35-55,0,60,N,Pass,-36.0,NA,11.0,58.0,45.0,68.0,82.0,71.0,131.0,79.0,165.0,81.0,194.0,70.0,49.0,100.0,84.0,80.0,119.0,100.0,NA,NA,200.0,60.0,33.0,0.0,60.0,0.0,12.0,56.0,9.0,0.0,11.0,2.0
BBB,2014B,92274,F,East Anglian Region,Lower Than A Level,60-70%,0-35,2,120,N,Withdrawn,-92.0,-14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014B,92341,F,North Western Region,Lower Than A Level,40-50%,0-35,2,60,N,Fail,-24.0,NA,10.0,82.0,37.0,79.0,80.0,64.0,NA,NA,NA,NA,NA,NA,49.0,80.0,84.0,100.0,NA,NA,NA,NA,NA,NA,566.0,0.0,227.0,2.0,12.0,73.0,14.0,0.0,25.0,38.0
BBB,2014B,93925,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,-100.0,-16.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014B,97006,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,1,60,N,Pass,-102.0,NA,11.0,73.0,39.0,79.0,94.0,83.0,NA,NA,152.0,90.0,193.0,83.0,49.0,100.0,84.0,100.0,NA,NA,154.0,100.0,200.0,100.0,46.0,0.0,60.0,0.0,6.0,53.0,6.0,0.0,17.0,1.0
BBB,2014B,97865,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,3,60,N,Withdrawn,-123.0,163.0,11.0,73.0,40.0,66.0,82.0,66.0,NA,NA,NA,NA,NA,NA,49.0,80.0,84.0,100.0,NA,NA,NA,NA,NA,NA,28.0,0.0,24.0,0.0,2.0,30.0,1.0,0.0,5.0,1.0
BBB,2014B,99799,F,East Midlands Region,A Level or Equivalent,10-20,0-35,1,120,N,Pass,-41.0,NA,8.0,72.0,30.0,79.0,86.0,74.0,116.0,80.0,NA,NA,193.0,74.0,49.0,100.0,84.0,80.0,119.0,60.0,154.0,60.0,200.0,80.0,116.0,7.0,182.0,0.0,7.0,80.0,55.0,0.0,90.0,16.0
BBB,2014B,103535,F,South West Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,-165.0,NA,15.0,73.0,36.0,77.0,81.0,74.0,115.0,74.0,150.0,74.0,191.0,71.0,49.0,100.0,84.0,100.0,119.0,100.0,154.0,100.0,200.0,100.0,98.0,1.0,128.0,0.0,18.0,82.0,18.0,0.0,30.0,6.0
BBB,2014B,104238,F,East Midlands Region,Lower Than A Level,10-20,0-35,0,120,N,Withdrawn,-131.0,-61.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014B,107713,F,East Anglian Region,Lower Than A Level,40-50%,0-35,2,150,N,Withdrawn,-19.0,173.0,13.0,98.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.0,100.0,84.0,100.0,NA,NA,NA,NA,NA,NA,11.0,0.0,40.0,0.0,1.0,35.0,6.0,0.0,16.0,2.0
BBB,2014B,108799,F,Scotland,Post Graduate Qualification,90-100%,35-55,0,75,N,Distinction,-138.0,NA,8.0,93.0,33.0,81.0,82.0,69.0,106.0,93.0,129.0,71.0,180.0,91.0,49.0,100.0,84.0,80.0,119.0,100.0,154.0,100.0,200.0,100.0,83.0,1.0,152.0,0.0,18.0,112.0,35.0,0.0,61.0,10.0
BBB,2014B,115452,F,East Anglian Region,Lower Than A Level,30-40%,0-35,1,120,N,Fail,-113.0,NA,11.0,86.0,38.0,79.0,89.0,84.0,130.0,72.0,NA,NA,NA,NA,49.0,100.0,84.0,100.0,119.0,100.0,154.0,100.0,200.0,100.0,174.0,0.0,212.0,1.0,0.0,112.0,13.0,0.0,55.0,23.0
BBB,2014B,117699,F,South Region,A Level or Equivalent,40-50%,0-35,0,120,N,Distinction,-236.0,NA,8.0,85.0,36.0,95.0,76.0,80.0,115.0,80.0,147.0,83.0,192.0,95.0,49.0,100.0,84.0,100.0,119.0,80.0,154.0,80.0,200.0,80.0,156.0,0.0,151.0,0.0,5.0,72.0,32.0,0.0,32.0,25.0
BBB,2014B,119471,F,East Midlands Region,Lower Than A Level,0-10%,35-55,1,120,N,Fail,-66.0,NA,10.0,50.0,40.0,56.0,82.0,47.0,118.0,10.0,152.0,56.0,193.0,62.0,49.0,100.0,84.0,100.0,119.0,100.0,154.0,80.0,200.0,80.0,46.0,1.0,221.0,0.0,14.0,120.0,57.0,0.0,57.0,76.0
BBB,2014B,123270,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,Fail,-123.0,NA,12.0,70.0,40.0,67.0,82.0,65.0,NA,NA,NA,NA,NA,NA,NA,NA,84.0,60.0,NA,NA,NA,NA,NA,NA,68.0,0.0,45.0,0.0,1.0,13.0,8.0,0.0,5.0,5.0
BBB,2014B,123462,M,Scotland,HE Qualification,80-90%,0-35,1,120,N,Pass,-71.0,NA,12.0,74.0,40.0,77.0,82.0,66.0,116.0,69.0,NA,NA,194.0,80.0,49.0,100.0,84.0,100.0,119.0,80.0,154.0,100.0,200.0,100.0,302.0,4.0,262.0,2.0,26.0,124.0,112.0,0.0,140.0,29.0
BBB,2014B,125055,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,Y,Pass,-57.0,NA,10.0,60.0,39.0,79.0,96.0,80.0,NA,NA,167.0,80.0,198.0,85.0,49.0,100.0,84.0,100.0,119.0,60.0,NA,NA,200.0,100.0,447.0,0.0,267.0,0.0,26.0,79.0,10.0,0.0,31.0,3.0
BBB,2014B,126608,M,Wales,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,-24.0,NA,11.0,42.0,39.0,60.0,87.0,62.0,122.0,47.0,160.0,47.0,194.0,35.0,49.0,100.0,84.0,80.0,119.0,80.0,154.0,60.0,200.0,60.0,165.0,0.0,98.0,1.0,60.0,67.0,14.0,0.0,27.0,11.0
BBB,2014B,126713,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,-18.0,NA,12.0,60.0,39.0,75.0,81.0,80.0,117.0,80.0,152.0,75.0,195.0,65.0,49.0,80.0,84.0,80.0,119.0,80.0,154.0,80.0,NA,NA,21.0,0.0,103.0,0.0,5.0,80.0,32.0,0.0,24.0,26.0
BBB,2014B,130013,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Pass,-71.0,NA,5.0,90.0,35.0,74.0,75.0,83.0,106.0,70.0,143.0,74.0,186.0,61.0,49.0,80.0,84.0,80.0,119.0,80.0,154.0,100.0,200.0,60.0,57.0,0.0,64.0,0.0,4.0,73.0,23.0,0.0,24.0,7.0
BBB,2014B,132972,F,London Region,Lower Than A Level,20-30%,0-35,0,240,N,Pass,-23.0,NA,12.0,77.0,51.0,67.0,82.0,65.0,NA,NA,NA,NA,194.0,40.0,49.0,100.0,84.0,80.0,119.0,100.0,154.0,100.0,200.0,80.0,26.0,0.0,48.0,0.0,1.0,74.0,5.0,0.0,14.0,8.0
BBB,2014B,139250,F,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Distinction,-52.0,NA,11.0,84.0,39.0,91.0,82.0,87.0,117.0,84.0,152.0,79.0,194.0,93.0,49.0,100.0,84.0,100.0,119.0,100.0,154.0,100.0,200.0,100.0,138.0,1.0,152.0,0.0,82.0,75.0,18.0,0.0,29.0,23.0
BBB,2014B,140719,F,London Region,HE Qualification,20-30%,0-35,1,240,N,Fail,-107.0,NA,11.0,68.0,43.0,59.0,NA,NA,130.0,56.0,162.0,53.0,192.0,54.0,49.0,100.0,84.0,80.0,119.0,60.0,154.0,100.0,200.0,60.0,67.0,0.0,81.0,0.0,6.0,67.0,15.0,0.0,20.0,4.0
BBB,2014B,148427,F,South East Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,-113.0,NA,12.0,85.0,41.0,70.0,82.0,73.0,NA,NA,159.0,78.0,194.0,40.0,49.0,100.0,84.0,100.0,119.0,100.0,154.0,80.0,200.0,100.0,4.0,0.0,166.0,0.0,1.0,76.0,72.0,0.0,70.0,32.0
BBB,2014B,155631,F,South Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,-89.0,NA,10.0,79.0,38.0,78.0,81.0,83.0,115.0,78.0,150.0,74.0,186.0,77.0,49.0,100.0,84.0,100.0,119.0,100.0,154.0,100.0,200.0,100.0,714.0,12.0,208.0,0.0,77.0,138.0,29.0,0.0,60.0,20.0
BBB,2014B,157276,F,North Western Region,A Level or Equivalent,80-90%,35-55,0,60,N,Distinction,-29.0,NA,11.0,72.0,46.0,86.0,82.0,80.0,NA,NA,151.0,82.0,193.0,83.0,49.0,100.0,84.0,100.0,119.0,100.0,154.0,100.0,200.0,100.0,2210.0,1.0,532.0,1.0,34.0,86.0,81.0,0.0,131.0,56.0
BBB,2014B,159293,M,South East Region,A Level or Equivalent,20-30%,0-35,0,120,N,Distinction,-141.0,NA,8.0,85.0,38.0,87.0,78.0,85.0,112.0,79.0,150.0,87.0,191.0,92.0,49.0,100.0,84.0,80.0,119.0,100.0,154.0,80.0,200.0,80.0,311.0,0.0,233.0,4.0,76.0,117.0,14.0,0.0,36.0,8.0
BBB,2014B,165904,F,South Region,A Level or Equivalent,30-40%,0-35,1,120,N,Distinction,-67.0,NA,7.0,85.0,38.0,86.0,80.0,91.0,114.0,95.0,151.0,93.0,191.0,95.0,49.0,100.0,84.0,100.0,119.0,100.0,154.0,80.0,200.0,100.0,208.0,0.0,348.0,0.0,37.0,105.0,83.0,0.0,135.0,47.0
BBB,2014B,170519,F,South Region,A Level or Equivalent,10-20,0-35,1,120,N,Withdrawn,-148.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014B,171751,F,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-47.0,NA,10.0,70.0,33.0,83.0,73.0,58.0,106.0,73.0,148.0,55.0,193.0,77.0,49.0,100.0,84.0,100.0,119.0,100.0,154.0,80.0,200.0,100.0,151.0,0.0,49.0,1.0,10.0,80.0,11.0,0.0,15.0,3.0
BBB,2014B,172137,F,Wales,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-24.0,NA,9.0,73.0,39.0,83.0,81.0,73.0,121.0,81.0,151.0,79.0,NA,NA,49.0,100.0,84.0,80.0,119.0,80.0,154.0,100.0,200.0,80.0,1260.0,0.0,506.0,0.0,36.0,112.0,58.0,0.0,72.0,51.0
BBB,2014B,183287,F,Wales,Lower Than A Level,40-50%,0-35,0,90,Y,Withdrawn,-128.0,74.0,12.0,77.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,87.0,0.0,35.0,0.0,7.0,27.0,1.0,0.0,3.0,2.0
BBB,2014B,185021,F,East Anglian Region,Lower Than A Level,80-90%,0-35,1,60,N,Pass,-96.0,NA,11.0,65.0,40.0,59.0,103.0,71.0,117.0,77.0,152.0,71.0,194.0,71.0,49.0,100.0,NA,NA,119.0,40.0,NA,NA,NA,NA,41.0,0.0,16.0,0.0,6.0,25.0,4.0,0.0,9.0,0.0
