code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,15020_date,15020_score,15021_date,15021_score,15022_date,15022_score,15023_date,15023_score,15024_date,15024_score,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_questionnaire,clicks_quiz,clicks_resource,clicks_subpage,clicks_url
BBB,2014J,26315,F,East Anglian Region,Lower Than A Level,60-70%,35-55,1,60,N,Pass,-92.0,NA,5.0,1.0,39.0,60.0,109.0,72.0,151.0,62.0,201.0,62.0,255.0,3.0,428.0,13.0,995.0,14.0,501.0,95.0,140.0,7.0
BBB,2014J,26734,M,South West Region,A Level or Equivalent,20-30%,0-35,0,90,Y,Fail,-101.0,NA,6.0,100.0,92.0,61.0,131.0,62.0,NA,NA,NA,NA,16.0,1.0,65.0,19.0,57.0,0.0,5.0,31.0,15.0,1.0
BBB,2014J,32327,F,South West Region,Lower Than A Level,20-30%,0-35,2,60,N,Withdrawn,-92.0,121.0,18.0,1.0,53.0,61.0,NA,NA,NA,NA,NA,NA,351.0,2.0,124.0,8.0,125.0,0.0,55.0,21.0,12.0,1.0
BBB,2014J,32930,F,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-35.0,NA,19.0,1.0,60.0,57.0,110.0,59.0,159.0,56.0,201.0,52.0,0.0,0.0,96.0,0.0,151.0,0.0,152.0,21.0,16.0,2.0
BBB,2014J,34431,F,Yorkshire Region,Lower Than A Level,70-80%,0-35,1,60,N,Withdrawn,-36.0,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BBB,2014J,34662,F,South West Region,A Level or Equivalent,60-70%,35-55,0,60,N,Withdrawn,-137.0,104.0,11.0,1.0,53.0,68.0,NA,NA,NA,NA,NA,NA,14.0,0.0,109.0,2.0,62.0,0.0,0.0,20.0,9.0,2.0
BBB,2014J,38711,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,Y,Withdrawn,-43.0,175.0,19.0,1.0,58.0,54.0,110.0,52.0,175.0,48.0,NA,NA,4.0,1.0,39.0,0.0,50.0,0.0,58.0,7.0,6.0,4.0
BBB,2014J,39208,F,Wales,A Level or Equivalent,90-100%,35-55,0,120,N,Pass,-72.0,NA,17.0,100.0,53.0,74.0,109.0,69.0,151.0,74.0,200.0,70.0,461.0,20.0,490.0,4.0,738.0,5.0,148.0,71.0,122.0,8.0
BBB,2014J,41547,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,-87.0,NA,10.0,100.0,52.0,80.0,109.0,63.0,152.0,25.0,201.0,40.0,112.0,1.0,178.0,1.0,499.0,11.0,151.0,31.0,23.0,0.0
BBB,2014J,47891,F,Wales,Lower Than A Level,10-20,0-35,4,60,N,Fail,-73.0,NA,18.0,100.0,60.0,57.0,105.0,40.0,NA,NA,NA,NA,0.0,0.0,47.0,0.0,37.0,0.0,8.0,10.0,14.0,2.0
