code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,24291_date,24291_score,24292_date,24292_score,24293_date,24293_score,24294_date,24294_score,24295_date,24295_score,24296_date,24296_score,24297_date,24297_score,24298_date,24298_score,24299_date,24299_score,clicks_forumng,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_page,clicks_quiz,clicks_resource,clicks_subpage,clicks_url
CCC,2014J,23698,F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,-110.0,NA,29.0,94.0,109.0,60.0,158.0,69.0,206.0,67.0,21.0,78.0,69.0,93.0,147.0,73.0,219.0,56.0,243.0,80.0,63.0,121.0,0.0,4.0,1.0,576.0,42.0,98.0,5.0
CCC,2014J,25261,F,Scotland,HE Qualification,40-50%,0-35,0,60,N,Withdrawn,-114.0,51.0,NA,NA,NA,NA,NA,NA,NA,NA,21.0,78.0,NA,NA,NA,NA,NA,NA,NA,NA,506.0,174.0,0.0,43.0,0.0,117.0,36.0,118.0,3.0
CCC,2014J,27116,M,Yorkshire Region,HE Qualification,70-80%,0-35,0,120,N,Distinction,-156.0,NA,31.0,90.0,109.0,95.0,154.0,92.0,207.0,84.0,21.0,89.0,69.0,100.0,147.0,98.0,219.0,96.0,243.0,96.0,407.0,401.0,52.0,269.0,2.0,448.0,104.0,158.0,6.0
CCC,2014J,28787,M,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-29.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0,89.0,69.0,60.0,147.0,54.0,219.0,21.0,243.0,44.0,123.0,144.0,0.0,10.0,4.0,254.0,25.0,82.0,3.0
CCC,2014J,28952,F,Yorkshire Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn,-50.0,12.0,32.0,52.0,NA,NA,NA,NA,NA,NA,21.0,67.0,NA,NA,NA,NA,NA,NA,NA,NA,6.0,21.0,0.0,2.0,0.0,59.0,2.0,12.0,3.0
CCC,2014J,29411,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,150,N,Withdrawn,-135.0,100.0,51.0,14.0,NA,NA,NA,NA,NA,NA,21.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,3.0,43.0,1.0,13.0,0.0,226.0,9.0,30.0,4.0
CCC,2014J,29420,M,Wales,A Level or Equivalent,70-80%,0-35,0,30,N,Pass,-14.0,NA,NA,NA,111.0,90.0,161.0,56.0,207.0,54.0,21.0,100.0,69.0,89.0,147.0,95.0,219.0,56.0,244.0,62.0,124.0,155.0,0.0,4.0,3.0,365.0,54.0,103.0,8.0
CCC,2014J,29639,M,North Region,Lower Than A Level,NA,0-35,0,30,N,Pass,-24.0,NA,32.0,90.0,109.0,94.0,157.0,90.0,207.0,89.0,21.0,67.0,69.0,93.0,147.0,88.0,219.0,69.0,248.0,74.0,2332.0,898.0,9.0,486.0,3.0,3033.0,96.0,121.0,8.0
CCC,2014J,30096,M,East Anglian Region,HE Qualification,90-100%,0-35,0,60,N,Distinction,-22.0,NA,10.0,94.0,106.0,92.0,147.0,89.0,203.0,79.0,21.0,100.0,69.0,98.0,147.0,98.0,219.0,96.0,244.0,96.0,1.0,119.0,0.0,11.0,1.0,428.0,82.0,69.0,3.0
CCC,2014J,30850,F,Scotland,HE Qualification,60-70%,35-55,0,120,N,Distinction,-56.0,NA,25.0,100.0,103.0,99.0,155.0,100.0,196.0,99.0,21.0,100.0,69.0,100.0,147.0,100.0,219.0,96.0,244.0,100.0,310.0,441.0,2.0,72.0,1.0,1261.0,44.0,123.0,4.0
CCC,2014J,31161,M,South Region,Post Graduate Qualification,90-100%,55<=,0,105,N,Distinction,-43.0,NA,19.0,92.0,98.0,98.0,148.0,97.0,176.0,96.0,21.0,89.0,69.0,100.0,147.0,100.0,219.0,100.0,244.0,100.0,182.0,922.0,3.0,132.0,1.0,1180.0,98.0,327.0,87.0
CCC,2014J,34068,M,Scotland,Lower Than A Level,50-60%,0-35,0,30,N,Withdrawn,-74.0,108.0,40.0,86.0,NA,NA,NA,NA,NA,NA,21.0,78.0,69.0,56.0,NA,NA,NA,NA,NA,NA,44.0,116.0,0.0,76.0,0.0,322.0,10.0,44.0,1.0
CCC,2014J,35355,M,Wales,Lower Than A Level,0-10%,35-55,0,30,N,Withdrawn,-25.0,199.0,31.0,72.0,105.0,62.0,NA,NA,NA,NA,21.0,89.0,69.0,77.0,147.0,43.0,NA,NA,NA,NA,157.0,135.0,1.0,464.0,0.0,289.0,10.0,58.0,2.0
CCC,2014J,35508,M,South West Region,A Level or Equivalent,90-100%,0-35,0,30,N,Pass,-44.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0,89.0,69.0,76.0,147.0,85.0,219.0,77.0,244.0,82.0,277.0,197.0,1.0,116.0,2.0,363.0,89.0,95.0,2.0
CCC,2014J,37652,F,London Region,HE Qualification,20-30%,35-55,0,50,N,Distinction,-11.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0,100.0,69.0,100.0,147.0,94.0,219.0,96.0,243.0,100.0,21.0,174.0,0.0,7.0,2.0,491.0,66.0,106.0,18.0
CCC,2014J,42746,F,South Region,HE Qualification,50-60%,35-55,0,60,N,Distinction,-108.0,NA,30.0,98.0,108.0,96.0,156.0,95.0,201.0,95.0,21.0,89.0,69.0,94.0,147.0,96.0,219.0,100.0,244.0,100.0,714.0,500.0,5.0,238.0,0.0,694.0,70.0,150.0,32.0
CCC,2014J,46705,M,Ireland,HE Qualification,NA,35-55,0,60,N,Fail,-61.0,NA,32.0,100.0,117.0,100.0,NA,NA,216.0,35.0,21.0,100.0,69.0,97.0,147.0,83.0,219.0,71.0,NA,NA,75.0,193.0,0.0,37.0,0.0,573.0,141.0,126.0,4.0
CCC,2014J,48635,M,South Region,HE Qualification,90-100%,0-35,0,120,N,Withdrawn,-8.0,12.0,NA,NA,NA,NA,NA,NA,NA,NA,21.0,78.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,89.0,3.0,9.0,0.0,421.0,22.0,44.0,3.0
CCC,2014J,51576,F,London Region,Lower Than A Level,10-20,0-35,1,60,N,Withdrawn,-85.0,73.0,28.0,96.0,NA,NA,NA,NA,NA,NA,21.0,89.0,NA,NA,NA,NA,NA,NA,NA,NA,268.0,68.0,0.0,8.0,0.0,53.0,19.0,9.0,3.0
CCC,2014J,53300,M,West Midlands Region,A Level or Equivalent,90-100%,0-35,0,270,N,Distinction,-24.0,NA,31.0,94.0,89.0,94.0,121.0,85.0,135.0,87.0,21.0,78.0,69.0,100.0,147.0,90.0,219.0,90.0,244.0,100.0,27.0,334.0,1.0,181.0,1.0,1127.0,56.0,224.0,6.0
CCC,2014J,54062,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,-67.0,110.0,32.0,50.0,NA,NA,NA,NA,NA,NA,21.0,67.0,69.0,54.0,NA,NA,NA,NA,NA,NA,6.0,27.0,0.0,0.0,0.0,98.0,2.0,11.0,3.0
CCC,2014J,60809,M,South East Region,Lower Than A Level,90-100%,0-35,0,120,N,Pass,-24.0,NA,32.0,100.0,109.0,96.0,158.0,86.0,207.0,91.0,21.0,100.0,69.0,89.0,147.0,94.0,219.0,69.0,243.0,46.0,138.0,278.0,4.0,88.0,4.0,1816.0,70.0,118.0,3.0
CCC,2014J,61227,F,East Anglian Region,Lower Than A Level,80-90%,0-35,0,30,Y,Pass,-38.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0,78.0,69.0,72.0,147.0,56.0,219.0,67.0,NA,NA,234.0,382.0,8.0,502.0,8.0,3194.0,101.0,211.0,2.0
