code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,25334_date,25334_score,25335_date,25335_score,25336_date,25336_score,25337_date,25337_score,25338_date,25338_score,25339_date,25339_score,25340_date,25340_score,25341_date,25341_score,25342_date,25342_score,25343_date,25343_score,25344_date,25344_score,25345_date,25345_score,25346_date,25346_score,25347_date,25347_score,clicks_externalquiz,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucontent,clicks_ouelluminate,clicks_ouwiki,clicks_page,clicks_resource,clicks_subpage,clicks_url
DDD,2013B,24213,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,N,Withdrawn,-128.0,-46.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2013B,40419,M,East Midlands Region,Lower Than A Level,20-30%,35-55,0,60,N,Withdrawn,-46.0,171.0,25.0,76.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.0,67.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,56.0,0.0,29.0,9.0,6.0,7.0,2.0,3.0,20.0,11.0
DDD,2013B,41060,M,Ireland,HE Qualification,70-80%,0-35,0,60,N,Fail,-24.0,NA,24.0,85.0,53.0,86.0,81.0,90.0,116.0,84.0,146.0,56.0,NA,NA,NA,NA,25.0,77.0,54.0,94.0,81.0,94.0,117.0,97.0,152.0,87.0,173.0,61.0,NA,NA,15.0,28.0,0.0,80.0,116.0,5.0,13.0,0.0,24.0,124.0,6.0
DDD,2013B,43284,M,East Midlands Region,Lower Than A Level,80-90%,0-35,2,180,N,Withdrawn,-28.0,226.0,23.0,79.0,52.0,83.0,81.0,65.0,121.0,45.0,NA,NA,NA,NA,NA,NA,25.0,73.0,54.0,89.0,81.0,78.0,117.0,70.0,NA,NA,173.0,61.0,NA,NA,30.0,121.0,0.0,293.0,171.0,29.0,26.0,2.0,35.0,98.0,42.0
DDD,2013B,45664,M,Yorkshire Region,HE Qualification,60-70%,0-35,1,60,N,Pass,-31.0,NA,25.0,66.0,53.0,46.0,81.0,54.0,116.0,65.0,150.0,55.0,200.0,50.0,230.0,40.0,25.0,47.0,NA,NA,81.0,50.0,117.0,63.0,152.0,69.0,173.0,58.0,209.0,67.0,22.0,135.0,0.0,287.0,213.0,0.0,46.0,4.0,77.0,170.0,94.0
DDD,2013B,52014,F,Wales,Lower Than A Level,0-10%,35-55,2,120,N,Fail,4.0,NA,23.0,81.0,52.0,70.0,78.0,39.0,119.0,0.0,163.0,36.0,200.0,14.0,231.0,13.0,25.0,53.0,54.0,53.0,81.0,42.0,117.0,27.0,152.0,20.0,NA,NA,NA,NA,9.0,37.0,0.0,98.0,84.0,0.0,73.0,0.0,10.0,32.0,6.0
DDD,2013B,53488,F,East Anglian Region,HE Qualification,90-100%,0-35,0,60,N,Pass,-25.0,NA,25.0,80.0,53.0,61.0,80.0,83.0,116.0,79.0,151.0,63.0,200.0,51.0,231.0,73.0,25.0,93.0,54.0,97.0,81.0,100.0,117.0,93.0,152.0,94.0,173.0,97.0,209.0,85.0,26.0,536.0,0.0,311.0,49.0,32.0,184.0,1.0,57.0,172.0,58.0
DDD,2013B,53895,M,North Region,A Level or Equivalent,60-70%,35-55,1,60,N,Withdrawn,-20.0,27.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,15.0,23.0,0.0,0.0,1.0,11.0,15.0,0.0
DDD,2013B,55242,F,North Western Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,-52.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0
DDD,2013B,57359,M,East Midlands Region,HE Qualification,40-50%,35-55,0,60,N,Withdrawn,-45.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,15.0,0.0,55.0,11.0,8.0,0.0,0.0,21.0,96.0,7.0
