code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,25355_date,25355_score,25356_date,25356_score,25357_date,25357_score,25358_date,25358_score,25359_date,25359_score,25360_date,25360_score,25361_date,25361_score,clicks_externalquiz,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_ouwiki,clicks_resource,clicks_subpage,clicks_url
DDD,2014B,24213,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,1,60,N,Pass,-54.0,NA,25.0,78.0,54.0,91.0,78.0,87.0,123.0,67.0,163.0,89.0,201.0,64.0,236.0,58.0,9.0,778.0,0.0,325.0,26.0,262.0,88.0,51.0,427.0,26.0
DDD,2014B,28149,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Withdrawn,-46.0,-4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2014B,31269,F,East Midlands Region,A Level or Equivalent,30-40%,35-55,1,120,N,Withdrawn,-90.0,73.0,25.0,45.0,53.0,67.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,154.0,0.0,122.0,8.0,81.0,33.0,38.0,113.0,10.0
DDD,2014B,35502,M,West Midlands Region,HE Qualification,30-40%,0-35,0,60,N,Withdrawn,-73.0,37.0,14.0,66.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,23.0,0.0,169.0,3.0,59.0,29.0,55.0,180.0,23.0
DDD,2014B,39660,F,North Western Region,Lower Than A Level,0-10%,0-35,0,120,N,Fail,-40.0,NA,15.0,85.0,47.0,85.0,69.0,77.0,124.0,11.0,NA,NA,NA,NA,NA,NA,6.0,124.0,0.0,220.0,5.0,113.0,25.0,26.0,100.0,11.0
DDD,2014B,46753,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-93.0,NA,22.0,80.0,83.0,69.0,95.0,78.0,116.0,64.0,NA,NA,200.0,24.0,234.0,36.0,4.0,224.0,0.0,561.0,26.0,86.0,102.0,328.0,410.0,38.0
DDD,2014B,49119,M,Ireland,HE Qualification,NA,0-35,0,90,N,Withdrawn,-75.0,66.0,26.0,69.0,54.0,73.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,22.0,0.0,59.0,0.0,33.0,0.0,50.0,83.0,4.0
DDD,2014B,50309,M,East Midlands Region,Lower Than A Level,10-20,0-35,1,60,N,Withdrawn,-90.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2014B,50476,F,South West Region,HE Qualification,0-10%,0-35,0,60,N,Distinction,-23.0,NA,-5.0,95.0,52.0,86.0,69.0,87.0,114.0,84.0,157.0,87.0,NA,NA,234.0,87.0,3.0,160.0,0.0,97.0,0.0,43.0,80.0,37.0,143.0,5.0
DDD,2014B,50619,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,-69.0,-16.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2014B,51030,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-23.0,NA,24.0,84.0,52.0,84.0,69.0,87.0,115.0,82.0,156.0,72.0,NA,NA,236.0,73.0,15.0,191.0,0.0,192.0,10.0,74.0,67.0,51.0,184.0,20.0
DDD,2014B,53632,M,Wales,Lower Than A Level,90-100%,0-35,1,60,N,Withdrawn,-15.0,165.0,22.0,80.0,52.0,91.0,74.0,98.0,123.0,75.0,NA,NA,NA,NA,NA,NA,3.0,92.0,1.0,110.0,0.0,59.0,47.0,92.0,93.0,13.0
DDD,2014B,54810,M,South Region,HE Qualification,40-50%,0-35,0,60,N,Withdrawn,-54.0,82.0,25.0,90.0,53.0,82.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,6.0,0.0,68.0,0.0,93.0,34.0,16.0,40.0,0.0
DDD,2014B,58617,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,-22.0,NA,25.0,58.0,57.0,51.0,74.0,46.0,117.0,35.0,158.0,36.0,200.0,18.0,NA,NA,0.0,105.0,0.0,190.0,0.0,289.0,66.0,63.0,110.0,11.0
DDD,2014B,61911,M,Wales,Lower Than A Level,50-60%,0-35,0,180,N,Fail,-80.0,NA,24.0,84.0,NA,NA,97.0,77.0,122.0,89.0,NA,NA,NA,NA,NA,NA,3.0,38.0,0.0,128.0,1.0,214.0,8.0,17.0,32.0,7.0
DDD,2014B,64450,M,West Midlands Region,Lower Than A Level,30-40%,0-35,1,120,N,Pass,-43.0,NA,25.0,21.0,58.0,74.0,81.0,75.0,121.0,12.0,158.0,44.0,207.0,43.0,237.0,51.0,11.0,1620.0,0.0,373.0,66.0,587.0,241.0,79.0,279.0,71.0
