code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,25362_date,25362_score,25363_date,25363_score,25364_date,25364_score,25365_date,25365_score,25366_date,25366_score,25367_date,25367_score,25368_date,25368_score,clicks_externalquiz,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_ouwiki,clicks_resource,clicks_subpage,clicks_url
DDD,2014J,8462,M,London Region,HE Qualification,30-40%,55<=,1,60,N,Withdrawn,-38.0,18.0,-1.0,93.0,-1.0,83.0,-1.0,83.0,-1.0,87.0,NA,NA,NA,NA,NA,NA,0.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
DDD,2014J,25572,F,London Region,HE Qualification,10-20,0-35,2,150,N,Withdrawn,-68.0,59.0,20.0,80.0,41.0,30.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,4.0,0.0,44.0,0.0,8.0,0.0,12.0,39.0,6.0
DDD,2014J,27417,M,South West Region,Lower Than A Level,60-70%,0-35,1,60,N,Withdrawn,-131.0,162.0,9.0,80.0,37.0,65.0,60.0,43.0,111.0,53.0,NA,NA,NA,NA,NA,NA,0.0,25.0,10.0,24.0,7.0,30.0,0.0,4.0,0.0,0.0
DDD,2014J,33387,M,Scotland,HE Qualification,10-20,0-35,2,90,N,Fail,-129.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2014J,33681,M,South East Region,A Level or Equivalent,50-60%,35-55,3,60,Y,Fail,-29.0,NA,-1.0,94.0,-1.0,73.0,-1.0,73.0,-1.0,63.0,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,16.0,0.0
DDD,2014J,33796,M,East Anglian Region,Lower Than A Level,80-90%,35-55,2,60,N,Pass,-51.0,NA,19.0,75.0,40.0,70.0,61.0,63.0,111.0,83.0,145.0,59.0,200.0,52.0,242.0,44.0,2.0,70.0,0.0,85.0,0.0,67.0,0.0,34.0,90.0,3.0
DDD,2014J,33897,M,West Midlands Region,Lower Than A Level,30-40%,0-35,1,60,N,Withdrawn,-18.0,41.0,-1.0,50.0,-1.0,59.0,-1.0,59.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2014J,34087,M,South East Region,A Level or Equivalent,60-70%,35-55,1,60,Y,Fail,-107.0,NA,-1.0,88.0,-1.0,83.0,-1.0,83.0,-1.0,83.0,NA,NA,NA,NA,NA,NA,0.0,44.0,0.0,48.0,0.0,10.0,0.0,6.0,16.0,7.0
DDD,2014J,36385,M,West Midlands Region,Lower Than A Level,70-80%,0-35,1,120,Y,Withdrawn,-123.0,-96.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2014J,39208,F,Wales,A Level or Equivalent,90-100%,35-55,0,120,N,Withdrawn,-161.0,-82.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DDD,2014J,46016,M,North Western Region,Lower Than A Level,40-50%,0-35,0,60,N,Withdrawn,-129.0,190.0,20.0,65.0,41.0,65.0,62.0,65.0,NA,NA,NA,NA,NA,NA,NA,NA,4.0,90.0,18.0,120.0,0.0,51.0,0.0,33.0,61.0,12.0
DDD,2014J,46812,F,North Region,Lower Than A Level,0-10%,0-35,1,180,Y,Withdrawn,-29.0,39.0,20.0,55.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,42.0,27.0,43.0,0.0,16.0,0.0,6.0,6.0,1.0
