code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,30709_date,30709_score,30710_date,30710_score,30711_date,30711_score,30712_date,30712_score,clicks_dualpane,clicks_forumng,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_ouwiki,clicks_page,clicks_quiz,clicks_resource,clicks_subpage,clicks_url
EEE,2013J,26915,M,Wales,Lower Than A Level,0-10%,35-55,0,30,N,Fail,-61.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,23.0,15.0,0.0,17.0,0.0,0.0,4.0,0.0,2.0,0.0
EEE,2013J,32553,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,-80.0,-12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEE,2013J,35355,M,Wales,Lower Than A Level,0-10%,35-55,0,30,N,Pass,-30.0,NA,28.0,86.0,67.0,86.0,122.0,79.0,158.0,83.0,8.0,414.0,196.0,0.0,1102.0,327.0,0.0,150.0,7.0,12.0,26.0
EEE,2013J,40508,M,West Midlands Region,A Level or Equivalent,40-50%,35-55,0,90,N,Withdrawn,-101.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,30.0,24.0,0.0,29.0,0.0,0.0,1.0,5.0,2.0,0.0
EEE,2013J,42638,M,Scotland,HE Qualification,90-100%,35-55,0,60,N,Pass,-39.0,NA,31.0,83.0,66.0,79.0,122.0,86.0,158.0,75.0,12.0,1831.0,1178.0,3.0,2281.0,381.0,0.0,209.0,64.0,153.0,74.0
EEE,2013J,43564,M,Scotland,HE Qualification,80-90%,35-55,0,60,N,Pass,-18.0,NA,33.0,94.0,66.0,98.0,123.0,94.0,159.0,85.0,8.0,390.0,363.0,0.0,902.0,248.0,0.0,176.0,65.0,111.0,71.0
EEE,2013J,54062,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,30,N,Distinction,-51.0,NA,33.0,78.0,68.0,87.0,124.0,92.0,159.0,99.0,5.0,93.0,147.0,4.0,729.0,301.0,1.0,119.0,25.0,37.0,16.0
EEE,2013J,63112,M,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-74.0,NA,32.0,88.0,66.0,96.0,124.0,74.0,158.0,90.0,4.0,1245.0,473.0,1.0,675.0,248.0,0.0,136.0,97.0,77.0,62.0
EEE,2013J,66713,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-155.0,NA,32.0,87.0,68.0,74.0,124.0,68.0,159.0,77.0,9.0,254.0,296.0,1.0,923.0,120.0,0.0,200.0,4.0,11.0,32.0
EEE,2013J,70214,M,Wales,Lower Than A Level,70-80%,0-35,0,120,N,Pass,-39.0,NA,33.0,58.0,68.0,57.0,124.0,42.0,159.0,35.0,9.0,547.0,496.0,3.0,1306.0,203.0,0.0,259.0,157.0,44.0,116.0
EEE,2013J,76579,F,Yorkshire Region,HE Qualification,10-20,0-35,0,60,N,Withdrawn,-57.0,144.0,33.0,69.0,NA,NA,NA,NA,NA,NA,2.0,40.0,226.0,0.0,329.0,0.0,0.0,92.0,9.0,32.0,41.0
EEE,2013J,88568,M,North Western Region,HE Qualification,70-80%,35-55,0,30,N,Pass,-132.0,NA,31.0,93.0,67.0,88.0,122.0,91.0,155.0,87.0,8.0,377.0,542.0,2.0,1525.0,623.0,0.0,206.0,58.0,142.0,99.0
EEE,2013J,96873,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,30,N,Fail,-195.0,NA,32.0,92.0,NA,NA,NA,NA,NA,NA,5.0,4.0,56.0,1.0,181.0,0.0,0.0,94.0,7.0,38.0,16.0
