code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,30714_date,30714_score,30715_date,30715_score,30716_date,30716_score,30717_date,30717_score,clicks_dualpane,clicks_forumng,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_ouwiki,clicks_page,clicks_quiz,clicks_resource,clicks_subpage,clicks_url
EEE,2014B,25150,M,North Western Region,HE Qualification,90-100%,0-35,0,60,N,Pass,-47.0,NA,32.0,97.0,67.0,87.0,116.0,75.0,151.0,78.0,0.0,148.0,282.0,0.0,1283.0,191.0,0.0,125.0,14.0,24.0,36.0
EEE,2014B,27780,M,Wales,A Level or Equivalent,10-20,0-35,0,150,N,Pass,-23.0,NA,32.0,65.0,67.0,58.0,113.0,57.0,NA,NA,0.0,17.0,152.0,0.0,246.0,0.0,0.0,82.0,12.0,17.0,27.0
EEE,2014B,29639,M,North Region,Lower Than A Level,NA,0-35,0,30,N,Pass,-26.0,NA,27.0,86.0,67.0,84.0,116.0,80.0,151.0,85.0,1.0,1183.0,577.0,19.0,829.0,463.0,0.0,177.0,13.0,9.0,246.0
EEE,2014B,29820,M,East Anglian Region,HE Qualification,40-50%,0-35,0,60,N,Pass,-57.0,NA,31.0,99.0,66.0,64.0,114.0,80.0,151.0,83.0,0.0,295.0,272.0,4.0,380.0,203.0,0.0,128.0,53.0,97.0,43.0
EEE,2014B,35340,M,South Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-51.0,NA,33.0,93.0,68.0,81.0,117.0,89.0,152.0,56.0,0.0,211.0,357.0,0.0,734.0,247.0,0.0,122.0,14.0,100.0,27.0
EEE,2014B,35508,M,South West Region,A Level or Equivalent,90-100%,0-35,0,30,N,Distinction,-50.0,NA,29.0,99.0,68.0,97.0,115.0,90.0,150.0,88.0,0.0,539.0,396.0,9.0,804.0,277.0,0.0,157.0,5.0,13.0,70.0
EEE,2014B,64296,M,Scotland,HE Qualification,20-30%,0-35,0,60,N,Fail,-44.0,NA,33.0,99.0,68.0,95.0,NA,NA,NA,NA,0.0,48.0,81.0,2.0,307.0,0.0,0.0,107.0,32.0,19.0,10.0
EEE,2014B,69239,F,East Midlands Region,Lower Than A Level,50-60%,0-35,0,90,Y,Withdrawn,-207.0,-29.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEE,2014B,70537,M,London Region,Lower Than A Level,10-20,35-55,0,120,N,Pass,-17.0,NA,32.0,81.0,66.0,87.0,115.0,76.0,151.0,79.0,0.0,285.0,423.0,6.0,916.0,453.0,2.0,235.0,31.0,37.0,46.0
EEE,2014B,83219,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,-34.0,NA,32.0,93.0,67.0,90.0,117.0,75.0,152.0,84.0,0.0,303.0,473.0,3.0,854.0,298.0,0.0,179.0,40.0,78.0,112.0
EEE,2014B,97486,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Withdrawn,-50.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
EEE,2014B,121574,F,East Anglian Region,A Level or Equivalent,10-20,0-35,0,30,N,Fail,-96.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEE,2014B,128971,M,East Midlands Region,HE Qualification,80-90%,0-35,0,30,N,Pass,-26.0,NA,31.0,86.0,66.0,82.0,116.0,90.0,151.0,80.0,0.0,81.0,258.0,8.0,1127.0,228.0,0.0,199.0,25.0,4.0,52.0
EEE,2014B,135330,M,Scotland,HE Qualification,90-100%,35-55,0,60,N,Fail,-22.0,NA,33.0,88.0,NA,NA,NA,NA,NA,NA,0.0,248.0,123.0,0.0,114.0,0.0,0.0,79.0,1.0,14.0,4.0
EEE,2014B,144745,F,London Region,HE Qualification,20-30%,0-35,0,30,Y,Pass,-24.0,NA,29.0,93.0,66.0,93.0,115.0,87.0,150.0,76.0,1.0,390.0,276.0,2.0,600.0,205.0,0.0,170.0,50.0,19.0,69.0
EEE,2014B,148282,M,North Western Region,HE Qualification,80-90%,0-35,0,30,N,Fail,-60.0,NA,33.0,46.0,NA,NA,NA,NA,NA,NA,0.0,0.0,30.0,0.0,92.0,5.0,0.0,62.0,3.0,0.0,5.0
EEE,2014B,156594,M,South Region,Post Graduate Qualification,90-100%,55<=,0,30,N,Pass,-23.0,NA,33.0,84.0,68.0,71.0,122.0,81.0,151.0,85.0,0.0,91.0,185.0,2.0,1315.0,237.0,0.0,118.0,21.0,98.0,27.0
