code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,34860_date,34860_score,34861_date,34861_score,34862_date,34862_score,34863_date,34863_score,34864_date,34864_score,34865_date,34865_score,34866_date,34866_score,34867_date,34867_score,34868_date,34868_score,34869_date,34869_score,34870_date,34870_score,34871_date,34871_score,clicks_dataplus,clicks_dualpane,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucontent,clicks_ouelluminate,clicks_ouwiki,clicks_page,clicks_questionnaire,clicks_quiz,clicks_resource,clicks_subpage,clicks_url
FFF,2013B,33915,F,South East Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,-64.0,NA,17.0,86.0,46.0,94.0,87.0,93.0,131.0,100.0,164.0,100.0,37.0,93.0,60.0,90.0,95.0,86.0,136.0,87.0,202.0,89.0,213.0,97.0,213.0,83.0,38.0,8.0,452.0,0.0,574.0,1590.0,42.0,54.0,15.0,26.0,848.0,44.0,380.0,50.0
FFF,2013B,35544,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-22.0,NA,18.0,94.0,46.0,78.0,89.0,77.0,130.0,92.0,165.0,76.0,48.0,99.0,107.0,95.0,107.0,81.0,192.0,80.0,222.0,89.0,222.0,94.0,222.0,96.0,6.0,11.0,189.0,0.0,205.0,943.0,0.0,19.0,9.0,18.0,460.0,24.0,198.0,25.0
FFF,2013B,35860,M,South West Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,-60.0,NA,18.0,86.0,46.0,82.0,89.0,73.0,NA,NA,NA,NA,17.0,84.0,39.0,89.0,97.0,86.0,203.0,80.0,207.0,88.0,223.0,80.0,221.0,82.0,18.0,8.0,114.0,0.0,208.0,1070.0,0.0,18.0,10.0,18.0,536.0,25.0,165.0,25.0
FFF,2013B,36385,M,West Midlands Region,Lower Than A Level,70-80%,0-35,0,120,Y,Withdrawn,-73.0,79.0,17.0,84.0,46.0,66.0,NA,NA,NA,NA,NA,NA,19.0,69.0,31.0,70.0,73.0,64.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,691.0,0.0,210.0,79.0,4.0,0.0,7.0,0.0,286.0,13.0,54.0,11.0
FFF,2013B,36842,M,South Region,Lower Than A Level,40-50%,0-35,0,90,N,Withdrawn,-24.0,-18.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFF,2013B,37298,M,Ireland,HE Qualification,NA,0-35,0,120,N,Pass,-31.0,NA,19.0,92.0,47.0,74.0,94.0,93.0,131.0,86.0,NA,NA,102.0,82.0,192.0,84.0,184.0,85.0,185.0,85.0,186.0,85.0,192.0,75.0,188.0,85.0,0.0,0.0,160.0,0.0,248.0,797.0,7.0,5.0,4.0,4.0,662.0,38.0,150.0,22.0
FFF,2013B,42668,M,London Region,Lower Than A Level,10-20,35-55,1,120,N,Pass,-122.0,NA,19.0,76.0,46.0,72.0,89.0,92.0,130.0,76.0,169.0,73.0,37.0,84.0,157.0,94.0,221.0,77.0,222.0,86.0,222.0,75.0,223.0,67.0,223.0,72.0,1.0,1.0,285.0,0.0,392.0,1267.0,5.0,9.0,9.0,6.0,551.0,45.0,255.0,13.0
FFF,2013B,43011,M,North Region,Lower Than A Level,NA,0-35,2,60,N,Withdrawn,-31.0,-2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFF,2013B,43273,M,East Midlands Region,HE Qualification,60-70%,35-55,0,90,N,Pass,-108.0,NA,19.0,90.0,55.0,72.0,89.0,72.0,131.0,59.0,166.0,71.0,207.0,81.0,207.0,82.0,207.0,70.0,208.0,81.0,208.0,81.0,209.0,80.0,208.0,73.0,5.0,4.0,64.0,0.0,279.0,743.0,0.0,0.0,3.0,0.0,534.0,34.0,184.0,12.0
FFF,2013B,43430,M,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-53.0,NA,14.0,98.0,42.0,90.0,85.0,97.0,124.0,88.0,161.0,100.0,26.0,80.0,34.0,94.0,82.0,74.0,117.0,82.0,139.0,82.0,173.0,75.0,172.0,79.0,31.0,11.0,909.0,0.0,866.0,2425.0,15.0,97.0,14.0,44.0,681.0,49.0,504.0,47.0
FFF,2013B,49095,F,South West Region,HE Qualification,40-50%,0-35,2,150,N,Withdrawn,-284.0,-207.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFF,2013B,50263,M,West Midlands Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-25.0,NA,16.0,84.0,46.0,84.0,88.0,80.0,130.0,79.0,164.0,89.0,-8.0,100.0,18.0,86.0,82.0,82.0,130.0,82.0,139.0,74.0,164.0,77.0,158.0,70.0,11.0,3.0,1373.0,0.0,933.0,1499.0,12.0,25.0,8.0,3.0,1514.0,26.0,402.0,54.0
FFF,2013B,53197,F,North Western Region,No Formal quals,0-10%,0-35,0,60,N,Fail,-81.0,NA,NA,NA,NA,NA,89.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,13.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
FFF,2013B,53709,M,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,-67.0,159.0,17.0,86.0,46.0,82.0,94.0,70.0,130.0,75.0,NA,NA,18.0,83.0,40.0,90.0,483.0,76.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,308.0,0.0,289.0,525.0,10.0,8.0,9.0,0.0,336.0,27.0,217.0,6.0
FFF,2013B,55450,M,South East Region,A Level or Equivalent,30-40%,35-55,1,120,N,Fail,-66.0,NA,18.0,88.0,46.0,64.0,88.0,82.0,138.0,63.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,102.0,0.0,102.0,773.0,3.0,9.0,4.0,3.0,38.0,28.0,123.0,8.0
FFF,2013B,58549,M,North Region,A Level or Equivalent,NA,0-35,0,120,N,Distinction,-23.0,NA,16.0,94.0,45.0,98.0,89.0,95.0,116.0,93.0,165.0,89.0,5.0,98.0,33.0,100.0,95.0,95.0,132.0,95.0,178.0,86.0,213.0,94.0,200.0,77.0,11.0,10.0,344.0,13.0,292.0,1047.0,13.0,11.0,16.0,24.0,453.0,24.0,188.0,35.0
