code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,34873_date,34873_score,34874_date,34874_score,34875_date,34875_score,34876_date,34876_score,34877_date,34877_score,34878_date,34878_score,34879_date,34879_score,34880_date,34880_score,34881_date,34881_score,34882_date,34882_score,34883_date,34883_score,34884_date,34884_score,clicks_dataplus,clicks_dualpane,clicks_folder,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_ouwiki,clicks_page,clicks_questionnaire,clicks_quiz,clicks_repeatactivity,clicks_resource,clicks_subpage,clicks_url
FFF,2013J,26247,M,South East Region,HE Qualification,80-90%,35-55,2,60,N,Fail,-47.0,NA,18.0,88.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,139.0,0.0,67.0,0.0,120.0,27.0,5.0,0.0,38.0,0.0,9.0,63.0,10.0
FFF,2013J,29335,M,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,-31.0,NA,16.0,94.0,44.0,92.0,92.0,94.0,130.0,96.0,171.0,97.0,6.0,87.0,28.0,90.0,54.0,87.0,98.0,96.0,166.0,95.0,199.0,91.0,182.0,86.0,26.0,12.0,2.0,1726.0,0.0,1637.0,1.0,3050.0,52.0,22.0,21.0,1538.0,0.0,44.0,649.0,60.0
FFF,2013J,29769,M,East Midlands Region,A Level or Equivalent,40-50%,0-35,1,60,N,Fail,-32.0,NA,17.0,88.0,54.0,64.0,103.0,63.0,131.0,60.0,NA,NA,70.0,95.0,74.0,95.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,132.0,0.0,224.0,0.0,764.0,16.0,22.0,10.0,266.0,0.0,31.0,135.0,8.0
FFF,2013J,32221,M,South Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,-32.0,NA,18.0,94.0,46.0,90.0,94.0,88.0,130.0,88.0,NA,NA,101.0,88.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,0.0,123.0,0.0,194.0,0.0,535.0,30.0,10.0,3.0,107.0,0.0,15.0,107.0,6.0
FFF,2013J,33600,F,London Region,A Level or Equivalent,40-50%,35-55,0,150,N,Withdrawn,-43.0,32.0,17.0,84.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,44.0,0.0,171.0,0.0,82.0,2.0,8.0,0.0,40.0,0.0,11.0,113.0,10.0
FFF,2013J,34731,M,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,-38.0,136.0,18.0,76.0,47.0,72.0,NA,NA,NA,NA,NA,NA,16.0,79.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,81.0,0.0,94.0,0.0,244.0,8.0,1.0,0.0,160.0,0.0,21.0,71.0,1.0
FFF,2013J,39882,F,Scotland,A Level or Equivalent,80-90%,0-35,0,120,N,Withdrawn,-32.0,-31.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFF,2013J,42616,F,Scotland,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-33.0,NA,18.0,76.0,50.0,74.0,95.0,71.0,134.0,67.0,162.0,82.0,192.0,82.0,192.0,89.0,192.0,85.0,192.0,84.0,192.0,89.0,192.0,83.0,192.0,81.0,8.0,5.0,2.0,1417.0,0.0,790.0,0.0,873.0,41.0,10.0,25.0,616.0,0.0,24.0,253.0,29.0
FFF,2013J,43958,M,Wales,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn,-167.0,149.0,13.0,88.0,39.0,96.0,NA,NA,NA,NA,NA,NA,56.0,90.0,56.0,98.0,56.0,7.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,5.0,0.0,513.0,0.0,491.0,0.0,711.0,30.0,3.0,6.0,273.0,0.0,21.0,154.0,13.0
FFF,2013J,47924,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,Fail,-142.0,NA,27.0,44.0,47.0,38.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,15.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
