code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,34886_date,34886_score,34887_date,34887_score,34888_date,34888_score,34889_date,34889_score,34890_date,34890_score,34891_date,34891_score,34892_date,34892_score,34893_date,34893_score,34894_date,34894_score,34895_date,34895_score,34896_date,34896_score,34897_date,34897_score,clicks_dataplus,clicks_dualpane,clicks_folder,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_ouwiki,clicks_page,clicks_questionnaire,clicks_quiz,clicks_resource,clicks_subpage,clicks_url
FFF,2014B,26211,F,London Region,HE Qualification,20-30%,35-55,0,90,N,Pass,-25.0,NA,22.0,84.0,49.0,84.0,84.0,78.0,126.0,68.0,168.0,88.0,37.0,98.0,37.0,99.0,82.0,95.0,136.0,98.0,175.0,97.0,207.0,91.0,199.0,91.0,35.0,4.0,3.0,1250.0,2.0,2396.0,16.0,8328.0,87.0,39.0,41.0,1711.0,82.0,1086.0,125.0
FFF,2014B,26269,M,Yorkshire Region,Lower Than A Level,0-10%,35-55,0,60,N,Withdrawn,-73.0,-12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFF,2014B,27189,F,South Region,Lower Than A Level,10-20,35-55,0,120,N,Fail,-65.0,NA,24.0,52.0,52.0,48.0,95.0,16.0,129.0,35.0,171.0,51.0,138.0,69.0,138.0,67.0,226.0,53.0,138.0,66.0,226.0,66.0,226.0,42.0,226.0,59.0,0.0,0.0,6.0,336.0,0.0,280.0,2.0,731.0,3.0,2.0,0.0,923.0,85.0,245.0,25.0
FFF,2014B,27683,M,London Region,HE Qualification,30-40%,0-35,0,60,N,Pass,-24.0,NA,24.0,64.0,52.0,78.0,87.0,63.0,128.0,72.0,180.0,78.0,196.0,97.0,207.0,98.0,207.0,89.0,226.0,86.0,227.0,86.0,228.0,94.0,227.0,80.0,0.0,0.0,2.0,74.0,0.0,237.0,0.0,906.0,27.0,9.0,3.0,643.0,45.0,161.0,22.0
FFF,2014B,28808,F,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Fail,-120.0,NA,24.0,80.0,52.0,60.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,41.0,0.0,46.0,0.0,79.0,4.0,4.0,0.0,6.0,9.0,42.0,1.0
FFF,2014B,28897,M,South West Region,A Level or Equivalent,10-20,0-35,0,120,N,Distinction,-136.0,NA,23.0,86.0,49.0,84.0,86.0,87.0,133.0,92.0,178.0,90.0,188.0,75.0,188.0,69.0,188.0,52.0,188.0,53.0,188.0,47.0,212.0,59.0,191.0,62.0,27.0,2.0,1.0,175.0,4.0,514.0,0.0,1796.0,36.0,16.0,33.0,409.0,41.0,256.0,57.0
FFF,2014B,30531,M,East Anglian Region,Lower Than A Level,50-60%,0-35,1,180,N,Fail,-137.0,NA,21.0,88.0,61.0,86.0,NA,NA,NA,NA,NA,NA,18.0,92.0,24.0,83.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,355.0,0.0,234.0,0.0,366.0,13.0,10.0,3.0,427.0,10.0,118.0,12.0
FFF,2014B,33600,F,London Region,A Level or Equivalent,40-50%,35-55,1,150,N,Withdrawn,-85.0,-66.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFF,2014B,34293,M,West Midlands Region,Lower Than A Level,60-70%,0-35,0,60,Y,Withdrawn,-68.0,90.0,19.0,72.0,51.0,76.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,178.0,0.0,79.0,7.0,504.0,40.0,5.0,3.0,34.0,6.0,60.0,5.0
FFF,2014B,36347,M,North Western Region,Lower Than A Level,10-20,0-35,0,120,N,Pass,-25.0,NA,23.0,84.0,52.0,66.0,87.0,68.0,129.0,73.0,NA,NA,222.0,74.0,222.0,74.0,223.0,58.0,223.0,66.0,223.0,54.0,227.0,69.0,223.0,56.0,0.0,0.0,2.0,26.0,0.0,420.0,0.0,848.0,15.0,1.0,3.0,627.0,33.0,180.0,6.0
