code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,34899_date,34899_score,34900_date,34900_score,34901_date,34901_score,34902_date,34902_score,34903_date,34903_score,34904_date,34904_score,34905_date,34905_score,34906_date,34906_score,34907_date,34907_score,34908_date,34908_score,34909_date,34909_score,34910_date,34910_score,clicks_dataplus,clicks_dualpane,clicks_forumng,clicks_glossary,clicks_homepage,clicks_htmlactivity,clicks_oucollaborate,clicks_oucontent,clicks_ouwiki,clicks_page,clicks_questionnaire,clicks_quiz,clicks_repeatactivity,clicks_resource,clicks_subpage,clicks_url
FFF,2014J,31296,M,East Midlands Region,Lower Than A Level,30-40%,0-35,1,60,N,Fail,-20.0,NA,24.0,78.0,58.0,40.0,97.0,38.0,141.0,43.0,199.0,69.0,242.0,81.0,243.0,77.0,243.0,80.0,243.0,77.0,243.0,69.0,243.0,72.0,243.0,69.0,0.0,0.0,11.0,0.0,118.0,0.0,0.0,397.0,2.0,0.0,0.0,554.0,0.0,11.0,165.0,22.0
FFF,2014J,35747,M,North Western Region,A Level or Equivalent,0-10%,35-55,0,120,N,Withdrawn,-15.0,12.0,24.0,54.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,205.0,0.0,97.0,5.0,1.0,210.0,12.0,0.0,5.0,4.0,0.0,12.0,83.0,19.0
FFF,2014J,35796,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,-66.0,NA,22.0,82.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,113.0,0.0,118.0,4.0,0.0,209.0,0.0,2.0,0.0,42.0,0.0,8.0,92.0,14.0
FFF,2014J,40857,F,North Western Region,A Level or Equivalent,30-40%,0-35,0,120,Y,Withdrawn,-89.0,108.0,24.0,86.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,38.0,0.0,84.0,6.0,0.0,61.0,2.0,2.0,0.0,11.0,0.0,8.0,79.0,13.0
FFF,2014J,40878,M,North Western Region,Lower Than A Level,0-10%,0-35,0,120,N,Distinction,-86.0,NA,20.0,94.0,46.0,90.0,93.0,76.0,132.0,94.0,197.0,90.0,32.0,88.0,47.0,96.0,95.0,93.0,131.0,97.0,199.0,88.0,236.0,89.0,236.0,92.0,6.0,0.0,279.0,0.0,331.0,4.0,5.0,954.0,36.0,11.0,12.0,555.0,0.0,22.0,204.0,36.0
FFF,2014J,42552,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,90,N,Pass,-150.0,NA,17.0,84.0,46.0,84.0,89.0,68.0,129.0,74.0,196.0,61.0,49.0,74.0,130.0,72.0,152.0,64.0,152.0,74.0,174.0,72.0,184.0,57.0,195.0,68.0,7.0,1.0,543.0,19.0,908.0,11.0,22.0,1592.0,62.0,8.0,17.0,1301.0,0.0,74.0,446.0,68.0
FFF,2014J,43958,M,Wales,A Level or Equivalent,90-100%,35-55,1,60,N,Fail,-115.0,NA,-1.0,88.0,-1.0,96.0,74.0,86.0,NA,NA,NA,NA,-1.0,90.0,-1.0,98.0,-1.0,83.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,208.0,0.0,237.0,1.0,0.0,378.0,17.0,0.0,0.0,116.0,0.0,8.0,128.0,5.0
FFF,2014J,45423,M,South West Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,-31.0,NA,17.0,60.0,58.0,62.0,96.0,53.0,144.0,40.0,200.0,57.0,40.0,75.0,146.0,75.0,149.0,72.0,150.0,72.0,172.0,70.0,229.0,61.0,229.0,63.0,14.0,0.0,420.0,0.0,515.0,13.0,1.0,1811.0,67.0,17.0,10.0,774.0,0.0,83.0,597.0,61.0
FFF,2014J,47861,M,South East Region,A Level or Equivalent,50-60%,0-35,0,60,Y,Pass,-103.0,NA,23.0,72.0,50.0,64.0,114.0,46.0,156.0,20.0,215.0,65.0,53.0,69.0,119.0,68.0,167.0,51.0,186.0,66.0,186.0,45.0,209.0,46.0,228.0,28.0,20.0,0.0,2551.0,1.0,2211.0,13.0,66.0,1891.0,104.0,7.0,3.0,1146.0,0.0,80.0,600.0,64.0
FFF,2014J,52275,M,London Region,No Formal quals,0-10%,0-35,0,90,N,Fail,-136.0,NA,30.0,38.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,10.0,0.0,23.0,1.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0
FFF,2014J,54772,M,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Withdrawn,-99.0,-92.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFF,2014J,56637,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,90,Y,Distinction,-99.0,NA,22.0,86.0,50.0,88.0,91.0,90.0,149.0,94.0,198.0,96.0,38.0,76.0,54.0,92.0,101.0,96.0,159.0,83.0,173.0,82.0,224.0,80.0,224.0,78.0,23.0,3.0,1917.0,0.0,1173.0,3.0,50.0,1246.0,28.0,8.0,35.0,580.0,0.0,28.0,321.0,25.0
FFF,2014J,56667,M,Yorkshire Region,Lower Than A Level,40-50%,35-55,2,120,N,Fail,-46.0,NA,23.0,76.0,57.0,50.0,100.0,72.0,149.0,61.0,NA,NA,242.0,62.0,242.0,81.0,242.0,67.0,242.0,66.0,242.0,75.0,242.0,72.0,242.0,59.0,4.0,0.0,13.0,0.0,61.0,0.0,0.0,141.0,2.0,0.0,0.0,561.0,0.0,19.0,50.0,2.0
FFF,2014J,58884,M,South Region,A Level or Equivalent,40-50%,35-55,0,90,Y,Distinction,-50.0,NA,23.0,92.0,51.0,94.0,97.0,86.0,134.0,90.0,195.0,94.0,100.0,92.0,46.0,96.0,100.0,92.0,128.0,93.0,174.0,88.0,229.0,81.0,220.0,80.0,31.0,2.0,916.0,0.0,916.0,3.0,2.0,2265.0,21.0,17.0,37.0,478.0,0.0,30.0,406.0,124.0
FFF,2014J,61297,F,East Midlands Region,No Formal quals,0-10%,0-35,0,180,N,Withdrawn,-66.0,-2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,3.0,4.0,32.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,2.0
