code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,37425_date,37425_score,37426_date,37426_score,37427_date,37427_score,37428_date,37428_score,37429_date,37429_score,37430_date,37430_score,37431_date,37431_score,37432_date,37432_score,37433_date,37433_score,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucontent,clicks_quiz,clicks_resource,clicks_subpage
GGG,2014B,24186,F,Yorkshire Region,Lower Than A Level,10-20,0-35,0,30,Y,Pass,-25.0,NA,NA,NA,110.0,60.0,163.0,60.0,73.0,80.0,159.0,40.0,159.0,60.0,207.0,80.0,207.0,60.0,207.0,60.0,14.0,0.0,46.0,9.0,102.0,8.0,5.0
GGG,2014B,29985,F,South Region,Lower Than A Level,20-30%,0-35,0,30,N,Pass,-93.0,NA,42.0,75.0,114.0,60.0,165.0,72.0,90.0,100.0,130.0,80.0,157.0,60.0,185.0,100.0,192.0,0.0,207.0,100.0,96.0,0.0,125.0,326.0,164.0,19.0,30.0
GGG,2014B,31107,M,South West Region,Lower Than A Level,40-50%,35-55,0,30,N,Pass,-47.0,NA,37.0,76.0,105.0,72.0,164.0,75.0,73.0,100.0,122.0,100.0,144.0,80.0,179.0,100.0,192.0,100.0,207.0,100.0,1974.0,10.0,925.0,733.0,137.0,34.0,60.0
GGG,2014B,38187,F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,30,N,Withdrawn,-46.0,26.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GGG,2014B,41414,F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,30,Y,Pass,-12.0,NA,66.0,78.0,116.0,75.0,167.0,47.0,77.0,80.0,136.0,100.0,147.0,100.0,199.0,100.0,199.0,40.0,209.0,100.0,111.0,4.0,212.0,411.0,133.0,54.0,40.0
GGG,2014B,49123,M,Yorkshire Region,Lower Than A Level,50-60%,0-35,0,30,N,Pass,-74.0,NA,60.0,69.0,117.0,77.0,165.0,80.0,75.0,100.0,126.0,100.0,143.0,80.0,186.0,80.0,196.0,80.0,208.0,100.0,196.0,0.0,221.0,797.0,105.0,20.0,23.0
GGG,2014B,64901,M,London Region,Lower Than A Level,10-20,35-55,0,30,N,Pass,-45.0,NA,57.0,44.0,117.0,58.0,167.0,70.0,171.0,80.0,171.0,100.0,171.0,72.0,202.0,100.0,207.0,20.0,219.0,100.0,24.0,3.0,153.0,394.0,139.0,57.0,57.0
GGG,2014B,81754,F,North Western Region,A Level or Equivalent,10-20,0-35,1,60,N,Withdrawn,-60.0,118.0,61.0,68.0,NA,NA,NA,NA,103.0,100.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.0,0.0,91.0,36.0,26.0,54.0,32.0
GGG,2014B,96423,F,South East Region,Lower Than A Level,90-100%,0-35,0,30,N,Pass,-60.0,NA,38.0,75.0,108.0,64.0,163.0,66.0,73.0,100.0,122.0,60.0,144.0,80.0,178.0,100.0,192.0,100.0,207.0,100.0,24.0,0.0,141.0,277.0,112.0,18.0,17.0
GGG,2014B,109772,F,South Region,A Level or Equivalent,30-40%,0-35,0,30,N,Pass,-25.0,NA,61.0,70.0,106.0,75.0,164.0,80.0,77.0,80.0,125.0,80.0,143.0,60.0,194.0,100.0,194.0,80.0,207.0,100.0,0.0,0.0,34.0,57.0,91.0,4.0,13.0
GGG,2014B,112441,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,30,N,Pass,-17.0,NA,68.0,73.0,118.0,54.0,168.0,50.0,128.0,100.0,128.0,100.0,158.0,100.0,185.0,100.0,193.0,100.0,213.0,100.0,74.0,3.0,202.0,424.0,135.0,90.0,41.0
GGG,2014B,116319,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,30,N,Pass,-8.0,NA,61.0,60.0,127.0,60.0,200.0,45.0,216.0,100.0,216.0,100.0,216.0,100.0,216.0,100.0,216.0,80.0,216.0,100.0,12.0,0.0,27.0,70.0,137.0,6.0,24.0
GGG,2014B,117969,F,Yorkshire Region,Lower Than A Level,10-20,0-35,0,30,N,Withdrawn,-51.0,28.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GGG,2014B,118474,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,1,60,N,Distinction,-10.0,NA,54.0,80.0,110.0,75.0,164.0,76.0,76.0,100.0,128.0,100.0,150.0,100.0,187.0,100.0,192.0,80.0,NA,NA,38.0,0.0,112.0,216.0,69.0,10.0,29.0
GGG,2014B,119444,F,East Midlands Region,Lower Than A Level,20-30%,0-35,0,30,N,Pass,-65.0,NA,54.0,70.0,145.0,77.0,222.0,10.0,221.0,100.0,221.0,80.0,222.0,80.0,222.0,80.0,NA,NA,NA,NA,111.0,2.0,111.0,172.0,86.0,25.0,24.0
GGG,2014B,120611,M,South Region,A Level or Equivalent,20-30%,35-55,0,30,N,Fail,-129.0,NA,68.0,54.0,117.0,60.0,187.0,64.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,17.0,103.0,0.0,3.0,2.0
GGG,2014B,122337,F,London Region,Lower Than A Level,70-80%,35-55,0,30,N,Fail,-43.0,NA,61.0,67.0,116.0,46.0,165.0,41.0,123.0,80.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0,2.0,164.0,165.0,73.0,125.0,96.0
